Blocks: '[0:86:2:3, 4:87:-37:1, 0:87:2:3, 4:88:-37:1, -37:88:-4:1, 0:88:2:3, 38:88:4:1,
  -39:92:1:44, -38:92:1:44, -37:92:1:44, -6:92:1:44, -5:92:1:44:5, -4:92:1:44:5, -3:92:1:44:13,
  -2:92:1:2, -1:92:1:2, 1:92:1:2, 2:92:1:2, 3:92:1:44:13, 4:92:1:44:5, 5:92:1:44:5,
  6:92:1:44, 7:92:1:44, 36:92:1:44, 37:92:1:44, 38:92:1:44, 39:92:1:44, 40:92:1:44:8,
  -5:92:2:44, -4:92:2:44:5, -3:92:2:44:13, -2:92:2:2, -1:92:2:2, 0:92:2:2, 1:92:2:2,
  2:92:2:2, 3:92:2:44:13, 4:92:2:44:5, 5:92:2:44, 37:92:2:1, 38:92:2:1, 39:92:2:1,
  40:92:2:44:8, -5:92:3:44, -4:92:3:44:5, -3:92:3:43:5, -2:92:3:44:13, -1:92:3:44:13,
  0:92:3:44:13, 1:92:3:44:13, 2:92:3:44:13, 3:92:3:44:13, 4:92:3:44:5, 5:92:3:44,
  36:92:3:1, 37:92:3:1, 38:92:3:1, 39:92:3:1, 40:92:3:1, 41:92:3:1, -4:92:4:44, -3:92:4:44:5,
  -2:92:4:44:5, -1:92:4:44:5, 0:92:4:44:5, 1:92:4:44:5, 2:92:4:44:5, 3:92:4:44:5,
  4:92:4:44, 36:92:4:1, 37:92:4:1, 38:92:4:1, 39:92:4:1, 40:92:4:1, -3:92:5:44, -2:92:5:44,
  -1:92:5:44:5, 0:92:5:44:5, 1:92:5:44:5, 2:92:5:44, 3:92:5:44, 36:92:5:1, 37:92:5:1,
  38:92:5:1, 39:92:5:1, 40:92:5:1, -1:92:6:44, 0:92:6:44, 1:92:6:44, 37:92:6:1, 38:92:6:1,
  39:92:6:1, 40:92:6:1, -1:92:7:44, 38:92:7:1, -1:92:37:44, 0:92:37:44, 1:92:37:44,
  -1:92:38:44, 0:92:38:44, 1:92:38:44, 2:92:38:44:8, -1:92:39:44, 0:92:39:44, 1:92:39:44,
  2:92:39:44:8, -1:92:40:1, 0:92:40:1, 1:92:40:1, 2:92:40:44:8, -2:92:41:1, -1:92:41:1,
  0:92:41:1, 1:92:41:1, 2:92:41:1, -2:92:42:1, -1:92:42:1, 0:92:42:1, 1:92:42:1, 2:92:42:1,
  -2:92:43:1, -1:92:43:1, 0:92:43:1, 1:92:43:1, 2:92:43:1, -1:92:44:1, 0:92:44:1,
  1:92:44:1, 2:93:-42:44:8, 3:93:-42:44:8, 4:93:-42:44:8, 1:93:-41:44, 2:93:-41:44,
  3:93:-41:44, 4:93:-41:44:8, 3:93:-40:1, 4:93:-40:1, 5:93:-40:1, 2:93:-39:1, 3:93:-39:3,
  4:93:-39:3, 5:93:-39:3, 6:93:-39:1, 2:93:-38:1, 3:93:-38:3, 4:93:-38:3, 5:93:-38:3,
  6:93:-38:1, 2:93:-37:1, 3:93:-37:3, 4:93:-37:3, 5:93:-37:3, 6:93:-37:1, 3:93:-36:1,
  4:93:-36:1, 5:93:-36:1, -39:93:-6:1, -38:93:-6:1, -37:93:-6:1, -40:93:-5:1, -39:93:-5:3,
  -38:93:-5:3, -37:93:-5:3, -36:93:-5:1, -42:93:-4:44:8, -41:93:-4:44:8, -40:93:-4:1,
  -39:93:-4:3, -38:93:-4:3, -37:93:-4:3, -36:93:-4:1, -42:93:-3:44:8, -41:93:-3:44,
  -40:93:-3:1, -39:93:-3:3, -38:93:-3:3, -37:93:-3:3, -36:93:-3:1, -42:93:-2:44:8,
  -41:93:-2:44, -39:93:-2:1, -38:93:-2:1, -37:93:-2:1, -41:93:-1:44, 0:93:-1:44:8,
  -1:93:0:44:8, 0:93:0:17, 1:93:0:44:8, 0:93:1:44:8, 41:93:1:44, 37:93:2:1, 38:93:2:1,
  39:93:2:1, 41:93:2:44, 42:93:2:44:8, 36:93:3:1, 37:93:3:3, 38:93:3:3, 39:93:3:3,
  40:93:3:1, 41:93:3:44, 42:93:3:44:8, 36:93:4:1, 37:93:4:3, 38:93:4:3, 39:93:4:3,
  40:93:4:1, 41:93:4:44:8, 42:93:4:44:8, 36:93:5:1, 37:93:5:3, 38:93:5:3, 39:93:5:3,
  40:93:5:1, 41:93:5:1, 37:93:6:1, 38:93:6:1, 39:93:6:1, 40:93:6:1, 38:93:7:1, 3:93:39:44,
  -1:93:40:1, 0:93:40:1, 1:93:40:1, 3:93:40:44, 4:93:40:44:8, -2:93:41:1, -1:93:41:3,
  0:93:41:3, 1:93:41:3, 2:93:41:1, 3:93:41:44, 4:93:41:44:8, -2:93:42:1, -1:93:42:3,
  0:93:42:3, 1:93:42:3, 2:93:42:1, 3:93:42:44:8, 4:93:42:44:8, -2:93:43:1, -1:93:43:3,
  0:93:43:3, 1:93:43:3, 2:93:43:1, -1:93:44:1, 0:93:44:1, 1:93:44:1, 4:94:-43:44,
  5:94:-43:44, 5:94:-42:44, 6:94:-42:44:8, 5:94:-41:44, 6:94:-41:44:8, 3:94:-40:1,
  4:94:-40:1, 5:94:-40:1, 6:94:-40:44:8, 2:94:-39:1, 3:94:-39:3, 4:94:-39:3, 5:94:-39:3,
  6:94:-39:1, 2:94:-38:1, 3:94:-38:3, 4:94:-38:3, 5:94:-38:3, 6:94:-38:1, 2:94:-37:1,
  3:94:-37:3, 4:94:-37:3, 5:94:-37:3, 6:94:-37:1, 3:94:-36:1, 4:94:-36:1, 5:94:-36:1,
  -42:94:-6:44:8, -41:94:-6:44:8, -40:94:-6:44:8, -39:94:-6:1, -38:94:-6:1, -37:94:-6:1,
  -43:94:-5:44, -42:94:-5:44, -41:94:-5:44, -40:94:-5:1, -39:94:-5:3, -38:94:-5:3,
  -37:94:-5:3, -36:94:-5:1, -43:94:-4:44, -40:94:-4:1, -39:94:-4:3, -38:94:-4:3, -37:94:-4:3,
  -36:94:-4:1, -40:94:-3:1, -39:94:-3:3, -38:94:-3:3, -37:94:-3:3, -36:94:-3:1, -39:94:-2:1,
  -38:94:-2:1, -37:94:-2:1, 0:94:0:17, 37:94:2:1, 38:94:2:1, 39:94:2:1, 36:94:3:1,
  37:94:3:3, 38:94:3:3, 39:94:3:3, 40:94:3:1, 36:94:4:1, 37:94:4:3, 38:94:4:3, 39:94:4:3,
  40:94:4:1, 43:94:4:44, 36:94:5:1, 37:94:5:3, 38:94:5:3, 39:94:5:3, 40:94:5:1, 41:94:5:44,
  42:94:5:44, 43:94:5:44, 37:94:6:1, 38:94:6:1, 39:94:6:1, 40:94:6:44:8, 41:94:6:44:8,
  42:94:6:44:8, 38:94:7:1, -1:94:40:1, 0:94:40:1, 1:94:40:1, -2:94:41:1, -1:94:41:3,
  0:94:41:3, 1:94:41:3, 2:94:41:1, -2:94:42:1, -1:94:42:3, 0:94:42:3, 1:94:42:3, 2:94:42:1,
  5:94:42:44, -2:94:43:1, -1:94:43:3, 0:94:43:3, 1:94:43:3, 2:94:43:1, 3:94:43:44,
  4:94:43:44, 5:94:43:44, -1:94:44:1, 0:94:44:1, 1:94:44:1, 2:94:44:44:8, 3:94:44:44:8,
  4:94:44:44:8, 7:95:-41:44, 3:95:-40:1, 4:95:-40:1, 5:95:-40:1, 7:95:-40:44, 8:95:-40:44:8,
  2:95:-39:1, 3:95:-39:3, 4:95:-39:3, 5:95:-39:3, 6:95:-39:1, 7:95:-39:44, 8:95:-39:44:8,
  2:95:-38:1, 3:95:-38:3, 4:95:-38:3, 5:95:-38:3, 6:95:-38:1, 7:95:-38:44:8, 8:95:-38:44:8,
  2:95:-37:1, 3:95:-37:3, 4:95:-37:3, 5:95:-37:3, 6:95:-37:1, 3:95:-36:1, 4:95:-36:89,
  5:95:-36:1, -40:95:-8:44:8, -39:95:-8:44:8, -38:95:-8:44:8, -41:95:-7:44, -40:95:-7:44,
  -39:95:-7:44, -38:95:-7:44:8, -39:95:-6:1, -38:95:-6:1, -37:95:-6:1, -40:95:-5:1,
  -39:95:-5:3, -38:95:-5:3, -37:95:-5:3, -36:95:-5:1, -40:95:-4:1, -39:95:-4:3, -38:95:-4:3,
  -37:95:-4:3, -36:95:-4:89, -40:95:-3:1, -39:95:-3:3, -38:95:-3:3, -37:95:-3:3, -36:95:-3:1,
  -39:95:-2:1, -38:95:-2:1, -37:95:-2:1, 0:95:0:17, 37:95:2:1, 38:95:2:1, 39:95:2:1,
  36:95:3:1, 37:95:3:3, 38:95:3:3, 39:95:3:3, 40:95:3:1, 36:95:4:89, 37:95:4:3, 38:95:4:3,
  39:95:4:3, 40:95:4:1, 36:95:5:1, 37:95:5:3, 38:95:5:3, 39:95:5:3, 40:95:5:1, 37:95:6:1,
  38:95:6:1, 39:95:6:1, 38:95:7:44:8, 39:95:7:44, 40:95:7:44, 41:95:7:44, 38:95:8:44:8,
  39:95:8:44:8, 40:95:8:44:8, -1:95:40:1, 0:95:40:89, 1:95:40:1, -2:95:41:1, -1:95:41:3,
  0:95:41:3, 1:95:41:3, 2:95:41:1, -2:95:42:1, -1:95:42:3, 0:95:42:3, 1:95:42:3, 2:95:42:1,
  -2:95:43:1, -1:95:43:3, 0:95:43:3, 1:95:43:3, 2:95:43:1, -1:95:44:1, 0:95:44:1,
  1:95:44:1, 0:95:45:44:8, 1:95:45:44, 2:95:45:44, 3:95:45:44, 0:95:46:44:8, 1:95:46:44:8,
  2:95:46:44:8, 3:96:-40:1, 4:96:-40:1, 5:96:-40:1, 2:96:-39:1, 3:96:-39:3, 4:96:-39:3,
  5:96:-39:3, 6:96:-39:1, 2:96:-38:1, 3:96:-38:3, 4:96:-38:3, 5:96:-38:3, 6:96:-38:1,
  9:96:-38:44, 2:96:-37:1, 3:96:-37:3, 4:96:-37:3, 5:96:-37:3, 6:96:-37:1, 7:96:-37:44,
  8:96:-37:44, 9:96:-37:44, 3:96:-36:1, 4:96:-36:1, 5:96:-36:1, 6:96:-36:44:8, 7:96:-36:44:8,
  8:96:-36:44:8, -38:96:-9:44, -37:96:-9:44, -37:96:-8:44, -36:96:-8:44:8, -37:96:-7:44,
  -36:96:-7:44:8, -39:96:-6:1, -38:96:-6:1, -37:96:-6:1, -36:96:-6:44:8, -40:96:-5:1,
  -39:96:-5:3, -38:96:-5:3, -37:96:-5:3, -36:96:-5:1, -40:96:-4:1, -39:96:-4:3, -38:96:-4:3,
  -37:96:-4:3, -36:96:-4:1, -2:96:-4:18, -40:96:-3:1, -39:96:-3:3, -38:96:-3:3, -37:96:-3:3,
  -36:96:-3:1, -3:96:-3:18, -2:96:-3:18, -1:96:-3:18, -39:96:-2:1, -38:96:-2:1, -37:96:-2:1,
  -2:96:-2:18, 2:96:-1:18, 0:96:0:17, 1:96:0:18, 2:96:0:18, 3:96:0:18, 2:96:1:18,
  37:96:2:1, 38:96:2:1, 39:96:2:1, 36:96:3:1, 37:96:3:3, 38:96:3:3, 39:96:3:3, 40:96:3:1,
  36:96:4:1, 37:96:4:3, 38:96:4:3, 39:96:4:3, 40:96:4:1, 36:96:5:1, 37:96:5:3, 38:96:5:3,
  39:96:5:3, 40:96:5:1, 36:96:6:44:8, 37:96:6:1, 38:96:6:1, 39:96:6:1, 36:96:7:44:8,
  37:96:7:44, 36:96:8:44:8, 37:96:8:44, 37:96:9:44, 38:96:9:44, -1:96:40:1, 0:96:40:1,
  1:96:40:1, -2:96:41:1, -1:96:41:3, 0:96:41:3, 1:96:41:3, 2:96:41:1, -2:96:42:1,
  -1:96:42:3, 0:96:42:3, 1:96:42:3, 2:96:42:1, -2:96:43:1, -1:96:43:3, 0:96:43:3,
  1:96:43:3, 2:96:43:1, -2:96:44:44:8, -1:96:44:1, 0:96:44:1, 1:96:44:1, -2:96:45:44:8,
  -1:96:45:44, -2:96:46:44:8, -1:96:46:44, -1:96:47:44, 0:96:47:44, 3:97:-40:1, 4:97:-40:1,
  5:97:-40:1, 2:97:-39:1, 3:97:-39:3, 4:97:-39:3, 5:97:-39:3, 6:97:-39:1, 2:97:-38:1,
  3:97:-38:3, 4:97:-38:3, 5:97:-38:3, 6:97:-38:1, 2:97:-37:1, 3:97:-37:3, 4:97:-37:3,
  5:97:-37:3, 6:97:-37:1, 3:97:-36:1, 4:97:-36:1, 5:97:-36:1, 4:97:-35:44:8, 5:97:-35:44,
  6:97:-35:44, 7:97:-35:44, 4:97:-34:44:8, 5:97:-34:44:8, 6:97:-34:44:8, -35:97:-7:44,
  -39:97:-6:1, -38:97:-6:1, -37:97:-6:1, -35:97:-6:44, -34:97:-6:44:8, -40:97:-5:1,
  -39:97:-5:3, -38:97:-5:3, -37:97:-5:3, -36:97:-5:1, -35:97:-5:44, -34:97:-5:44:8,
  -3:97:-5:18, -2:97:-5:18, -1:97:-5:18, -40:97:-4:1, -39:97:-4:3, -38:97:-4:3, -37:97:-4:3,
  -36:97:-4:1, -35:97:-4:44:8, -34:97:-4:44:8, -4:97:-4:18, -3:97:-4:18, -2:97:-4:18,
  -1:97:-4:18, 0:97:-4:18, -40:97:-3:1, -39:97:-3:3, -38:97:-3:3, -37:97:-3:3, -36:97:-3:1,
  -4:97:-3:18, -3:97:-3:18, -2:97:-3:18, -1:97:-3:18, 0:97:-3:18, -39:97:-2:1, -38:97:-2:1,
  -37:97:-2:1, -4:97:-2:18, -3:97:-2:18, -2:97:-2:18, -1:97:-2:18, 0:97:-2:18, 1:97:-2:18,
  2:97:-2:18, 3:97:-2:18, -3:97:-1:18, -2:97:-1:18, -1:97:-1:18, 0:97:-1:18, 1:97:-1:17:4,
  2:97:-1:18, 3:97:-1:18, 4:97:-1:18, 0:97:0:17, 1:97:0:18, 2:97:0:18, 3:97:0:18,
  4:97:0:18, 0:97:1:18, 1:97:1:17:4, 2:97:1:17:4, 3:97:1:18, 4:97:1:18, 1:97:2:18,
  2:97:2:18, 3:97:2:18, 37:97:2:1, 38:97:2:1, 39:97:2:1, 2:97:3:18, 3:97:3:18, 4:97:3:18,
  36:97:3:1, 37:97:3:3, 38:97:3:3, 39:97:3:3, 40:97:3:1, 3:97:4:18, 34:97:4:44:8,
  35:97:4:44:8, 36:97:4:1, 37:97:4:3, 38:97:4:3, 39:97:4:3, 40:97:4:1, 34:97:5:44:8,
  35:97:5:44, 36:97:5:1, 37:97:5:3, 38:97:5:3, 39:97:5:3, 40:97:5:1, 34:97:6:44:8,
  35:97:6:44, 37:97:6:1, 38:97:6:1, 39:97:6:1, 35:97:7:44, -1:97:40:1, 0:97:40:1,
  1:97:40:1, -2:97:41:1, -1:97:41:3, 0:97:41:3, 1:97:41:3, 2:97:41:1, -4:97:42:44:8,
  -3:97:42:44:8, -2:97:42:1, -1:97:42:3, 0:97:42:3, 1:97:42:3, 2:97:42:1, -4:97:43:44:8,
  -3:97:43:44, -2:97:43:1, -1:97:43:3, 0:97:43:3, 1:97:43:3, 2:97:43:1, -4:97:44:44:8,
  -3:97:44:44, -1:97:44:1, 0:97:44:1, 1:97:44:1, -3:97:45:44, 3:98:-40:1, 4:98:-40:1,
  5:98:-40:1, 2:98:-39:1, 3:98:-39:3, 4:98:-39:3, 5:98:-39:3, 6:98:-39:1, 2:98:-38:1,
  3:98:-38:3, 4:98:-38:3, 5:98:-38:3, 6:98:-38:1, 2:98:-37:1, 3:98:-37:3, 4:98:-37:3,
  5:98:-37:3, 6:98:-37:1, 2:98:-36:44:8, 3:98:-36:1, 4:98:-36:1, 5:98:-36:1, 2:98:-35:44:8,
  3:98:-35:44, 2:98:-34:44:8, 3:98:-34:44, 3:98:-33:44, 4:98:-33:44, -39:98:-6:1,
  -38:98:-6:1, -37:98:-6:1, -40:98:-5:1, -39:98:-5:3, -38:98:-5:3, -37:98:-5:3, -36:98:-5:1,
  -3:98:-5:18, -2:98:-5:18, -1:98:-5:18, -40:98:-4:1, -39:98:-4:3, -38:98:-4:3, -37:98:-4:3,
  -36:98:-4:1, -33:98:-4:44, -4:98:-4:18, -3:98:-4:18, -2:98:-4:18, -1:98:-4:18, 0:98:-4:18,
  -40:98:-3:1, -39:98:-3:3, -38:98:-3:3, -37:98:-3:3, -36:98:-3:1, -35:98:-3:44, -34:98:-3:44,
  -33:98:-3:44, -4:98:-3:18, -3:98:-3:18, -2:98:-3:18, -1:98:-3:18, 0:98:-3:18, 1:98:-3:18,
  2:98:-3:18, -39:98:-2:1, -38:98:-2:1, -37:98:-2:1, -36:98:-2:44:8, -35:98:-2:44:8,
  -34:98:-2:44:8, -4:98:-2:18, -3:98:-2:18, -2:98:-2:18, -1:98:-2:18, 0:98:-2:17:8,
  1:98:-2:17:8, 2:98:-2:18, 3:98:-2:18, -3:98:-1:18, -2:98:-1:18, -1:98:-1:18, 0:98:-1:17:8,
  1:98:-1:17:4, 2:98:-1:18, 3:98:-1:18, 4:98:-1:18, -1:98:0:18, 0:98:0:17, 1:98:0:18,
  2:98:0:18, 3:98:0:18, 4:98:0:18, 0:98:1:18, 1:98:1:18, 2:98:1:18, 3:98:1:18, 4:98:1:18,
  1:98:2:18, 2:98:2:18, 3:98:2:17:4, 4:98:2:17:4, 5:98:2:18, 34:98:2:44:8, 35:98:2:44:8,
  36:98:2:44:8, 37:98:2:1, 38:98:2:1, 39:98:2:1, 1:98:3:18, 2:98:3:18, 3:98:3:18,
  4:98:3:18, 5:98:3:18, 33:98:3:44, 34:98:3:44, 35:98:3:44, 36:98:3:1, 37:98:3:3,
  38:98:3:3, 39:98:3:3, 40:98:3:1, 1:98:4:18, 2:98:4:18, 3:98:4:18, 4:98:4:18, 5:98:4:18,
  33:98:4:44, 36:98:4:1, 37:98:4:3, 38:98:4:3, 39:98:4:3, 40:98:4:1, 2:98:5:18, 3:98:5:18,
  4:98:5:18, 36:98:5:1, 37:98:5:3, 38:98:5:3, 39:98:5:3, 40:98:5:1, 37:98:6:1, 38:98:6:1,
  39:98:6:1, -4:98:40:44:8, -3:98:40:44:8, -2:98:40:44:8, -1:98:40:1, 0:98:40:1, 1:98:40:1,
  -5:98:41:44, -4:98:41:44, -3:98:41:44, -2:98:41:1, -1:98:41:3, 0:98:41:3, 1:98:41:3,
  2:98:41:1, -5:98:42:44, -2:98:42:1, -1:98:42:3, 0:98:42:3, 1:98:42:3, 2:98:42:1,
  -2:98:43:1, -1:98:43:3, 0:98:43:3, 1:98:43:3, 2:98:43:1, -1:98:44:1, 0:98:44:1,
  1:98:44:1, 3:99:-40:1, 4:99:-40:1, 5:99:-40:1, 2:99:-39:1, 3:99:-39:3, 4:99:-39:3,
  5:99:-39:3, 6:99:-39:1, 0:99:-38:44:8, 1:99:-38:44:8, 2:99:-38:1, 3:99:-38:3, 4:99:-38:3,
  5:99:-38:3, 6:99:-38:1, 0:99:-37:44:8, 1:99:-37:44, 2:99:-37:1, 3:99:-37:3, 4:99:-37:3,
  5:99:-37:3, 6:99:-37:1, 0:99:-36:44:8, 1:99:-36:44, 3:99:-36:1, 4:99:-36:1, 5:99:-36:1,
  1:99:-35:44, -39:99:-6:1, -38:99:-6:1, -37:99:-6:1, -40:99:-5:1, -39:99:-5:3, -38:99:-5:3,
  -37:99:-5:3, -36:99:-5:1, -40:99:-4:1, -39:99:-4:3, -38:99:-4:3, -37:99:-4:3, -36:99:-4:1,
  -2:99:-4:18, -1:99:-4:18, 0:99:-4:18, 1:99:-4:18, 2:99:-4:18, -40:99:-3:1, -39:99:-3:3,
  -38:99:-3:3, -37:99:-3:3, -36:99:-3:1, -3:99:-3:18, -2:99:-3:18, -1:99:-3:18, 0:99:-3:18,
  1:99:-3:18, 2:99:-3:17:8, 3:99:-3:18, -39:99:-2:1, -38:99:-2:1, -37:99:-2:1, -2:99:-2:18,
  -1:99:-2:18, 0:99:-2:18, 1:99:-2:18, 2:99:-2:18, 3:99:-2:18, -38:99:-1:44:8, -37:99:-1:44,
  -36:99:-1:44, -35:99:-1:44, -2:99:-1:18, -1:99:-1:18, 0:99:-1:18, 1:99:-1:18, 2:99:-1:18,
  3:99:-1:18, -38:99:0:44:8, -37:99:0:44:8, -36:99:0:44:8, -1:99:0:18, 0:99:0:17,
  1:99:0:18, 2:99:0:18, 3:99:0:18, 4:99:0:18, 5:99:0:18, 36:99:0:44:8, 37:99:0:44:8,
  38:99:0:44:8, 0:99:1:18, 1:99:1:17:4, 2:99:1:17:4, 3:99:1:18, 4:99:1:18, 5:99:1:18,
  6:99:1:18, 35:99:1:44, 36:99:1:44, 37:99:1:44, 38:99:1:44:8, 1:99:2:18, 2:99:2:18,
  3:99:2:18, 4:99:2:18, 5:99:2:18, 6:99:2:18, 37:99:2:1, 38:99:2:1, 39:99:2:1, 1:99:3:18,
  2:99:3:18, 3:99:3:18, 4:99:3:18, 5:99:3:18, 6:99:3:18, 36:99:3:1, 37:99:3:3, 38:99:3:3,
  39:99:3:3, 40:99:3:1, 1:99:4:18, 2:99:4:18, 3:99:4:18, 4:99:4:18, 5:99:4:18, 36:99:4:1,
  37:99:4:3, 38:99:4:3, 39:99:4:3, 40:99:4:1, 2:99:5:18, 3:99:5:18, 4:99:5:18, 36:99:5:1,
  37:99:5:3, 38:99:5:3, 39:99:5:3, 40:99:5:1, 37:99:6:1, 38:99:6:1, 39:99:6:1, -2:99:38:44:8,
  -1:99:38:44:8, 0:99:38:44:8, -3:99:39:44, -2:99:39:44, -1:99:39:44, 0:99:39:44:8,
  -1:99:40:1, 0:99:40:1, 1:99:40:1, -2:99:41:1, -1:99:41:3, 0:99:41:3, 1:99:41:3,
  2:99:41:1, -2:99:42:1, -1:99:42:3, 0:99:42:3, 1:99:42:3, 2:99:42:1, -2:99:43:1,
  -1:99:43:3, 0:99:43:3, 1:99:43:3, 2:99:43:1, -1:99:44:1, 0:99:44:1, 1:99:44:1, 2:100:-41:44:8,
  3:100:-41:44:8, 4:100:-41:44:8, 5:100:-41:44:8, 0:100:-40:44:8, 1:100:-40:44:8,
  2:100:-40:44:8, 3:100:-40:5:1, 4:100:-40:5:1, 5:100:-40:5:1, -1:100:-39:44, 0:100:-39:44,
