Blocks: '[-30:65:-20:1:4, -29:65:-20:1:4, -28:65:-20:1:4, -31:65:-19:1:4, -30:65:-19:1:4,
  -29:65:-19:1:4, -28:65:-19:1:4, -27:65:-19:1:4, -32:65:-18:1:4, -31:65:-18:1:4,
  -30:65:-18:1:4, -29:65:-18:1:4, -28:65:-18:1:4, -27:65:-18:1:4, -26:65:-18:1:4,
  -32:65:-17:1:4, -31:65:-17:1:4, -30:65:-17:1:4, -29:65:-17:1:4, -28:65:-17:1:4,
  -27:65:-17:1:4, -26:65:-17:1:4, -32:65:-16:1:4, -31:65:-16:1:4, -30:65:-16:1:4,
  -29:65:-16:1:4, -28:65:-16:1:4, -27:65:-16:1:4, -26:65:-16:1:4, -31:65:-15:1:4,
  -30:65:-15:1:4, -29:65:-15:1:4, -28:65:-15:1:4, -27:65:-15:1:4, -30:65:-14:1:4,
  -27:68:-21:12, -1:68:-21:3, 0:68:-21:3, 1:68:-21:3, 2:68:-21:3, 3:68:-21:3, -32:68:-20:12,
  -31:68:-20:12, -30:68:-20:12, -29:68:-20:12, -28:68:-20:12, -27:68:-20:12, -26:68:-20:12,
  -2:68:-20:3, -1:68:-20:3, 0:68:-20:3, 1:68:-20:3, 2:68:-20:3, 3:68:-20:3, 4:68:-20:3,
  -33:68:-19:12, -32:68:-19:12, -31:68:-19:12, -30:68:-19:12, -29:68:-19:12, -28:68:-19:12,
  -27:68:-19:12, -26:68:-19:12, -25:68:-19:12, -3:68:-19:3, -2:68:-19:3, -1:68:-19:3,
  0:68:-19:3, 1:68:-19:3, 2:68:-19:3, 3:68:-19:3, 4:68:-19:3, 5:68:-19:3, -33:68:-18:12,
  -32:68:-18:12, -31:68:-18:12, -30:68:-18:12, -29:68:-18:12, -28:68:-18:12, -27:68:-18:12,
  -26:68:-18:12, -25:68:-18:12, -3:68:-18:3, -2:68:-18:3, -1:68:-18:3, 0:68:-18:3,
  1:68:-18:3, 2:68:-18:3, 3:68:-18:3, 4:68:-18:3, 5:68:-18:3, -33:68:-17:12, -32:68:-17:12,
  -31:68:-17:12, -30:68:-17:12, -29:68:-17:12, -28:68:-17:12, -27:68:-17:12, -26:68:-17:12,
  -25:68:-17:12, -3:68:-17:3, -2:68:-17:3, -1:68:-17:3, 0:68:-17:3, 1:68:-17:3, 2:68:-17:3,
  3:68:-17:3, 4:68:-17:3, 5:68:-17:3, -33:68:-16:12, -32:68:-16:12, -31:68:-16:12,
  -30:68:-16:12, -29:68:-16:12, -28:68:-16:12, -27:68:-16:12, -26:68:-16:12, -25:68:-16:12,
  -3:68:-16:3, -2:68:-16:3, -1:68:-16:3, 0:68:-16:3, 1:68:-16:3, 2:68:-16:3, 3:68:-16:3,
  4:68:-16:3, 5:68:-16:3, -33:68:-15:12, -32:68:-15:12, -31:68:-15:12, -30:68:-15:12,
  -29:68:-15:12, -28:68:-15:12, -27:68:-15:12, -26:68:-15:12, -25:68:-15:12, -3:68:-15:3,
  -2:68:-15:3, -1:68:-15:3, 0:68:-15:3, 1:68:-15:3, 2:68:-15:3, 3:68:-15:3, 4:68:-15:3,
  5:68:-15:3, -32:68:-14:12, -31:68:-14:12, -30:68:-14:12, -29:68:-14:12, -28:68:-14:12,
  -27:68:-14:12, -26:68:-14:12, -2:68:-14:3, -1:68:-14:3, 0:68:-14:3, 1:68:-14:3,
  2:68:-14:3, 3:68:-14:3, 4:68:-14:3, -31:68:-13:12, -30:68:-13:12, -29:68:-13:12,
  -28:68:-13:12, -27:68:-13:12, -1:68:-13:3, 0:68:-13:3, 1:68:-13:3, 2:68:-13:3, 3:68:-13:3,
  -32:68:9:88, -31:68:9:88, -30:68:9:87, -29:68:9:87, -28:68:9:87, -27:68:9:87, -26:68:9:87,
  -1:68:9:121, 0:68:9:121, 1:68:9:121, 2:68:9:121, 3:68:9:121, -33:68:10:88, -32:68:10:88,
  -31:68:10:88, -30:68:10:87, -29:68:10:87, -28:68:10:87, -27:68:10:87, -26:68:10:87,
  -25:68:10:87, -2:68:10:121, -1:68:10:121, 0:68:10:121, 1:68:10:121, 2:68:10:121,
  3:68:10:121, 4:68:10:121, -33:68:11:88, -32:68:11:88, -31:68:11:88, -30:68:11:87,
  -29:68:11:87, -28:68:11:87, -27:68:11:87, -26:68:11:87, -25:68:11:87, -3:68:11:121,
  -2:68:11:121, -1:68:11:121, 0:68:11:121, 1:68:11:121, 2:68:11:121, 3:68:11:121,
  4:68:11:121, 5:68:11:121, -33:68:12:88, -32:68:12:88, -31:68:12:88, -30:68:12:87,
  -29:68:12:87, -28:68:12:87, -27:68:12:87, -26:68:12:87, -25:68:12:87, -3:68:12:121,
  -2:68:12:121, -1:68:12:121, 0:68:12:121, 1:68:12:121, 2:68:12:121, 3:68:12:121,
  4:68:12:121, 5:68:12:121, -33:68:13:88, -32:68:13:88, -31:68:13:88, -30:68:13:87,
  -29:68:13:87, -28:68:13:87, -27:68:13:87, -26:68:13:87, -25:68:13:87, -3:68:13:121,
  -2:68:13:121, -1:68:13:121, 0:68:13:121, 1:68:13:121, 2:68:13:121, 3:68:13:121,
  4:68:13:121, 5:68:13:121, -33:68:14:88, -32:68:14:88, -31:68:14:87, -30:68:14:87,
  -29:68:14:87, -28:68:14:87, -27:68:14:87, -26:68:14:87, -25:68:14:87, -3:68:14:121,
  -2:68:14:121, -1:68:14:121, 0:68:14:121, 1:68:14:121, 2:68:14:121, 3:68:14:121,
  4:68:14:121, 5:68:14:121, -33:68:15:88, -32:68:15:88, -31:68:15:87, -30:68:15:87,
  -29:68:15:87, -28:68:15:87, -27:68:15:87, -26:68:15:87, -25:68:15:87, -3:68:15:121,
  -2:68:15:121, -1:68:15:121, 0:68:15:121, 1:68:15:121, 2:68:15:121, 3:68:15:121,
  4:68:15:121, 5:68:15:121, -33:68:16:88, -32:68:16:88, -31:68:16:87, -30:68:16:87,
  -29:68:16:87, -28:68:16:87, -27:68:16:87, -26:68:16:87, -25:68:16:87, -2:68:16:121,
  -1:68:16:121, 0:68:16:121, 1:68:16:121, 2:68:16:121, 3:68:16:121, 4:68:16:121, -32:68:17:87,
  -31:68:17:87, -30:68:17:87, -29:68:17:87, -28:68:17:87, -27:68:17:87, -26:68:17:87,
  -1:68:17:121, 0:68:17:121, 1:68:17:121, 2:68:17:121, 3:68:17:121, -32:69:-22:1:4,
  -31:69:-22:1:4, -30:69:-22:1:4, -29:69:-22:1:4, -28:69:-22:1:4, -27:69:-22:1:4,
  -26:69:-22:1:4, -2:69:-22:1:4, -1:69:-22:1:4, 0:69:-22:1:4, 1:69:-22:1:4, 2:69:-22:1:4,
  3:69:-22:1:4, 4:69:-22:1:4, -33:69:-21:1:4, -32:69:-21:1:4, -31:69:-21:12, -30:69:-21:12,
  -29:69:-21:12, -28:69:-21:12, -27:69:-21:12, -26:69:-21:1:4, -25:69:-21:1:4, -3:69:-21:1:4,
  -2:69:-21:1:4, -1:69:-21:3, 0:69:-21:3, 1:69:-21:3, 2:69:-21:3, 3:69:-21:3, 4:69:-21:1:4,
  5:69:-21:1:4, -34:69:-20:1:4, -33:69:-20:1:4, -32:69:-20:12, -31:69:-20:12, -30:69:-20:12,
  -29:69:-20:12, -28:69:-20:12, -27:69:-20:12, -26:69:-20:12, -25:69:-20:1:4, -24:69:-20:1:4,
  -4:69:-20:1:4, -3:69:-20:1:4, -2:69:-20:3, -1:69:-20:3, 0:69:-20:3, 1:69:-20:3,
  2:69:-20:3, 3:69:-20:3, 4:69:-20:3, 5:69:-20:1:4, 6:69:-20:1:4, -34:69:-19:1:4,
  -33:69:-19:12, -32:69:-19:12, -31:69:-19:12, -30:69:-19:12, -29:69:-19:12, -28:69:-19:12,
  -27:69:-19:12, -26:69:-19:12, -25:69:-19:12, -24:69:-19:1:4, -4:69:-19:1:4, -3:69:-19:3,
  -2:69:-19:3, -1:69:-19:3, 0:69:-19:3, 1:69:-19:3, 2:69:-19:3, 3:69:-19:3, 4:69:-19:3,
  5:69:-19:3, 6:69:-19:1:4, -34:69:-18:1:4, -33:69:-18:12, -32:69:-18:12, -31:69:-18:12,
  -30:69:-18:12, -29:69:-18:12, -28:69:-18:12, -27:69:-18:12, -26:69:-18:12, -25:69:-18:12,
  -24:69:-18:1:4, -4:69:-18:1:4, -3:69:-18:3, -2:69:-18:3, -1:69:-18:3, 0:69:-18:3,
  1:69:-18:3, 2:69:-18:3, 3:69:-18:3, 4:69:-18:3, 5:69:-18:3, 6:69:-18:1:4, -34:69:-17:1:4,
  -33:69:-17:12, -32:69:-17:12, -31:69:-17:12, -30:69:-17:12, -29:69:-17:12, -28:69:-17:12,
  -27:69:-17:12, -26:69:-17:12, -25:69:-17:12, -24:69:-17:1:4, -4:69:-17:1:4, -3:69:-17:3,
  -2:69:-17:3, -1:69:-17:3, 0:69:-17:3, 1:69:-17:3, 2:69:-17:3, 3:69:-17:3, 4:69:-17:3,
  5:69:-17:3, 6:69:-17:1:4, -34:69:-16:1:4, -33:69:-16:12, -32:69:-16:12, -31:69:-16:12,
  -30:69:-16:12, -29:69:-16:12, -28:69:-16:12, -27:69:-16:12, -26:69:-16:12, -25:69:-16:12,
  -24:69:-16:1:4, -4:69:-16:1:4, -3:69:-16:3, -2:69:-16:3, -1:69:-16:3, 0:69:-16:3,
  1:69:-16:3, 2:69:-16:3, 3:69:-16:3, 4:69:-16:3, 5:69:-16:3, 6:69:-16:1:4, -34:69:-15:1:4,
  -33:69:-15:12, -32:69:-15:12, -31:69:-15:12, -30:69:-15:12, -29:69:-15:12, -28:69:-15:12,
  -27:69:-15:12, -26:69:-15:12, -25:69:-15:12, -24:69:-15:1:4, -4:69:-15:1:4, -3:69:-15:3,
  -2:69:-15:3, -1:69:-15:3, 0:69:-15:3, 1:69:-15:3, 2:69:-15:3, 3:69:-15:3, 4:69:-15:3,
  5:69:-15:3, 6:69:-15:1:4, -34:69:-14:1:4, -33:69:-14:1:4, -32:69:-14:12, -31:69:-14:12,
  -30:69:-14:12, -29:69:-14:12, -28:69:-14:12, -27:69:-14:12, -26:69:-14:12, -25:69:-14:1:4,
  -24:69:-14:1:4, -4:69:-14:1:4, -3:69:-14:1:4, -2:69:-14:3, -1:69:-14:3, 0:69:-14:3,
  1:69:-14:3, 2:69:-14:3, 3:69:-14:3, 4:69:-14:3, 5:69:-14:1:4, 6:69:-14:1:4, -33:69:-13:1:4,
  -32:69:-13:1:4, -31:69:-13:12, -30:69:-13:12, -29:69:-13:12, -28:69:-13:12, -27:69:-13:12,
  -26:69:-13:1:4, -25:69:-13:1:4, -3:69:-13:1:4, -2:69:-13:1:4, -1:69:-13:3, 0:69:-13:3,
  1:69:-13:3, 2:69:-13:3, 3:69:-13:3, 4:69:-13:1:4, 5:69:-13:1:4, -32:69:-12:1:4,
  -31:69:-12:1:4, -30:69:-12:1:4, -29:69:-12:1:4, -28:69:-12:1:4, -27:69:-12:1:4,
  -26:69:-12:1:4, -2:69:-12:1:4, -1:69:-12:1:4, 0:69:-12:1:4, 1:69:-12:1:4, 2:69:-12:1:4,
  3:69:-12:1:4, 4:69:-12:1:4, -32:69:8:1:4, -31:69:8:1:4, -30:69:8:1:4, -29:69:8:1:4,
  -28:69:8:1:4, -27:69:8:1:4, -26:69:8:1:4, -2:69:8:1:4, -1:69:8:1:4, 0:69:8:1:4,
  1:69:8:1:4, 2:69:8:1:4, 3:69:8:1:4, 4:69:8:1:4, -33:69:9:1:4, -32:69:9:88, -31:69:9:88,
  -30:69:9:88, -29:69:9:88, -28:69:9:87, -27:69:9:87, -26:69:9:87, -25:69:9:1:4, -3:69:9:1:4,
  -2:69:9:1:4, -1:69:9:121, 0:69:9:121, 1:69:9:121, 2:69:9:121, 3:69:9:121, 4:69:9:1:4,
  5:69:9:1:4, -34:69:10:1:4, -33:69:10:88, -32:69:10:88, -31:69:10:88, -30:69:10:88,
  -29:69:10:88, -28:69:10:11, -27:69:10:11, -26:69:10:87, -25:69:10:87, -24:69:10:1:4,
  -4:69:10:1:4, -3:69:10:1:4, -2:69:10:121, -1:69:10:121, 0:69:10:121, 1:69:10:121,
  2:69:10:121, 3:69:10:121, 4:69:10:121, 5:69:10:1:4, 6:69:10:1:4, -34:69:11:1:4,
  -33:69:11:88, -32:69:11:88, -31:69:11:88, -30:69:11:88, -29:69:11:11, -28:69:11:11,
  -27:69:11:87, -26:69:11:87, -25:69:11:87, -24:69:11:1:4, -4:69:11:1:4, -3:69:11:121,
  -2:69:11:121, -1:69:11:121, 0:69:11:121, 1:69:11:121, 2:69:11:121, 3:69:11:121,
  4:69:11:121, 5:69:11:121, 6:69:11:1:4, -34:69:12:1:4, -33:69:12:88, -32:69:12:88,
  -31:69:12:88, -30:69:12:11, -29:69:12:11, -28:69:12:11, -27:69:12:87, -26:69:12:87,
  -25:69:12:87, -24:69:12:1:4, -4:69:12:1:4, -3:69:12:121, -2:69:12:121, -1:69:12:121,
  0:69:12:121, 1:69:12:121, 2:69:12:121, 3:69:12:121, 4:69:12:121, 5:69:12:121, 6:69:12:1:4,
  -34:69:13:1:4, -33:69:13:88, -32:69:13:88, -31:69:13:88, -30:69:13:11, -29:69:13:11,
  -28:69:13:153, -27:69:13:153, -26:69:13:87, -25:69:13:87, -24:69:13:1:4, -4:69:13:1:4,
  -3:69:13:121, -2:69:13:121, -1:69:13:121, 0:69:13:121, 1:69:13:121, 2:69:13:121,
  3:69:13:121, 4:69:13:121, 5:69:13:121, 6:69:13:1:4, -34:69:14:1:4, -33:69:14:88,
  -32:69:14:88, -31:69:14:88, -30:69:14:11, -29:69:14:11, -28:69:14:87, -27:69:14:87,
  -26:69:14:87, -25:69:14:87, -24:69:14:1:4, -4:69:14:1:4, -3:69:14:121, -2:69:14:121,
  -1:69:14:121, 0:69:14:121, 1:69:14:121, 2:69:14:121, 3:69:14:121, 4:69:14:121, 5:69:14:121,
  6:69:14:1:4, -34:69:15:1:4, -33:69:15:88, -32:69:15:88, -31:69:15:11, -30:69:15:11,
  -29:69:15:87, -28:69:15:87, -27:69:15:87, -26:69:15:87, -25:69:15:87, -24:69:15:1:4,
  -4:69:15:1:4, -3:69:15:121, -2:69:15:121, -1:69:15:121, 0:69:15:121, 1:69:15:121,
  2:69:15:121, 3:69:15:121, 4:69:15:121, 5:69:15:121, 6:69:15:1:4, -34:69:16:1:4,
  -33:69:16:88, -32:69:16:88, -31:69:16:11, -30:69:16:11, -29:69:16:87, -28:69:16:87,
  -27:69:16:87, -26:69:16:87, -25:69:16:87, -24:69:16:1:4, -4:69:16:1:4, -3:69:16:1:4,
  -2:69:16:121, -1:69:16:121, 0:69:16:121, 1:69:16:121, 2:69:16:121, 3:69:16:121,
  4:69:16:121, 5:69:16:1:4, 6:69:16:1:4, -33:69:17:1:4, -32:69:17:88, -31:69:17:88,
  -30:69:17:11, -29:69:17:87, -28:69:17:87, -27:69:17:87, -26:69:17:87, -25:69:17:1:4,
  -3:69:17:1:4, -2:69:17:1:4, -1:69:17:121, 0:69:17:121, 1:69:17:121, 2:69:17:121,
  3:69:17:121, 4:69:17:1:4, 5:69:17:1:4, -32:69:18:1:4, -31:69:18:1:4, -30:69:18:1:4,
  -29:69:18:1:4, -28:69:18:1:4, -27:69:18:1:4, -26:69:18:1:4, -2:69:18:1:4, -1:69:18:1:4,
  0:69:18:1:4, 1:69:18:1:4, 2:69:18:1:4, 3:69:18:1:4, 4:69:18:1:4, -15:70:-38:1, -14:70:-38:1,
  -13:70:-38:1, -16:70:-37:1, -15:70:-37:1, -14:70:-37:1, -13:70:-37:1, -12:70:-37:1,
  -16:70:-36:1, -15:70:-36:1, -14:70:-36:1, -13:70:-36:1, -12:70:-36:1, -16:70:-35:1,
  -15:70:-35:1, -14:70:-35:1, -13:70:-35:1, -12:70:-35:1, -15:70:-34:1, -14:70:-34:1,
  -13:70:-34:1, -31:70:-21:12, -30:70:-21:12, -29:70:-21:12, -28:70:-21:12, -27:70:-21:12,
  -1:70:-21:3, 0:70:-21:3, 1:70:-21:3, 2:70:-21:3, 3:70:-21:3, -32:70:-20:12, -31:70:-20:12,
  -30:70:-20:12, -29:70:-20:12, -28:70:-20:12, -27:70:-20:12, -26:70:-20:12, -2:70:-20:3,
  -1:70:-20:3, 0:70:-20:3, 1:70:-20:3, 2:70:-20:3, 3:70:-20:3, 4:70:-20:3, -33:70:-19:12,
  -32:70:-19:12, -31:70:-19:12, -30:70:-19:12, -29:70:-19:12, -28:70:-19:12, -27:70:-19:12,
  -26:70:-19:12, -25:70:-19:12, -3:70:-19:3, -2:70:-19:3, -1:70:-19:3, 0:70:-19:3,
  1:70:-19:3, 2:70:-19:3, 3:70:-19:3, 4:70:-19:3, 5:70:-19:3, -33:70:-18:12, -32:70:-18:12,
  -31:70:-18:12, -30:70:-18:12, -29:70:-18:12, -28:70:-18:12, -27:70:-18:12, -26:70:-18:12,
  -25:70:-18:12, -3:70:-18:3, -2:70:-18:3, -1:70:-18:3, 0:70:-18:3, 1:70:-18:3, 2:70:-18:3,
  3:70:-18:3, 4:70:-18:3, 5:70:-18:3, -33:70:-17:12, -32:70:-17:12, -31:70:-17:12,
  -30:70:-17:12, -29:70:-17:12, -28:70:-17:12, -27:70:-17:12, -26:70:-17:12, -25:70:-17:12,
  -23:70:-17:1, -5:70:-17:1, -3:70:-17:3, -2:70:-17:3, -1:70:-17:3, 0:70:-17:3, 1:70:-17:3,
  2:70:-17:3, 3:70:-17:3, 4:70:-17:3, 5:70:-17:3, -33:70:-16:12, -32:70:-16:12, -31:70:-16:12,
