Blocks: '[72:58:80:20, -2:70:-6:1:1, -1:70:-6:3:1, -3:70:-5:1:1, -2:70:-5:1:1, -1:70:-5:3:1,
  0:70:-5:172, 1:70:-5:172, -3:70:-4:1:1, -2:70:-4:1:1, -1:70:-4:172, 0:70:-4:172,
  1:70:-4:172, 2:70:-4:172, 3:70:-4:172, -3:70:-3:1:1, -2:70:-3:172, -1:70:-3:172,
  7:71:-3:1:1, -5:71:-2:1:1, -4:71:-2:1:1, -3:71:-2:172, -2:71:-2:172, -1:71:-2:172,
  0:71:-2:172, 1:71:-2:172, 2:71:-2:172, 3:71:-2:172, 4:71:-2:172, 5:71:-2:1:1, 6:71:-2:1,
  7:71:-2:1:1, 8:71:-2:1:1, 9:71:-2:1:1, -6:71:-1:1:1, -5:71:-1:1:1, -4:71:-1:1:1,
  -3:71:-1:172, -2:71:-1:172, -1:71:-1:172, 0:71:-1:172, 1:71:-1:172, 2:71:-1:172,
  3:71:-1:172, 4:71:-1:172, 5:71:-1:172, 6:71:-1:172, 7:71:-1:172, 8:71:-1:1:1, 9:71:-1:1:1,
  -6:71:0:1:1, -5:71:0:172, -4:71:0:172, -3:71:0:172, -2:71:0:172, -1:71:0:172, 0:71:0:172,
  1:71:0:172, 2:71:0:172, 3:71:0:172, 4:71:0:172, 5:71:0:172, 6:71:0:172, 7:71:0:172,
  8:71:0:3:1, 9:71:0:1:1, -7:71:1:1:1, -6:71:1:1:1, -5:71:1:172, -4:71:1:172, -3:71:1:172,
  -2:71:1:172, -1:71:1:172, 0:71:1:172, 1:71:1:172, 2:71:1:172, 3:71:1:172, 4:71:1:172,
  5:71:1:172, 6:71:1:1:1, 7:71:1:1:1, 8:71:1:1:1, 9:71:1:1:1, -7:71:2:1:1, -6:71:2:3:1,
  -5:71:2:172, -4:71:2:172, -3:71:2:172, -2:71:2:172, -1:71:2:172, 0:71:2:172, 1:71:2:172,
  2:71:2:172, 3:71:2:172, 4:71:2:1:1, 5:71:2:1:1, 6:71:2:1:1, 7:71:2:1:1, -7:71:3:3:1,
  -6:71:3:3:1, -5:71:3:172, -4:71:3:172, -3:71:3:172, -2:71:3:172, -1:71:3:172, 0:71:3:172,
  1:71:3:172, 2:71:3:1:1, 3:71:3:1:1, 4:71:3:1:1, 5:71:3:1:1, -3:71:4:172, -2:71:4:172,
  -1:71:4:172, 0:71:4:172, 1:71:4:172, 2:71:4:1:1, 3:71:4:1:1, -3:71:5:172, -2:71:5:172,
  -1:71:5:172, 0:71:5:172, 1:71:5:172, 2:71:5:1:1, 3:71:5:1:1, -2:71:6:172, -1:71:6:172,
  0:71:6:172, 1:71:6:172, 2:71:6:1:1, 3:71:6:1:1, -2:71:7:172, -1:71:7:172, 0:71:7:172,
  1:71:7:1:1, 2:71:7:1:1, 3:71:7:1:1, -1:71:8:172, 0:71:8:172, 1:71:8:1:1, 2:71:8:1:1,
  0:71:9:172, 1:71:9:3:1, 2:71:9:1:1, -1:72:-9:1:1, 0:72:-9:1:1, -3:72:-8:1:1, -2:72:-8:1:1,
  -1:72:-8:1:1, 0:72:-8:172, 1:72:-8:172, 2:72:-8:172, -3:72:-7:1:1, -2:72:-7:1:1,
  -1:72:-7:172, 0:72:-7:172, 1:72:-7:172, 2:72:-7:172, -3:72:-6:1:1, -2:72:-6:1:1,
  -1:72:-6:172, 0:72:-6:172, 1:72:-6:172, 2:72:-6:172, -3:72:-5:1:1, -2:72:-5:172,
  -1:72:-5:172, 0:72:-5:172, 1:72:-5:172, 2:72:-5:172, 3:72:-5:172, -4:72:-4:3:1,
  -3:72:-4:1:1, -2:72:-4:1:1, -1:72:-4:172, 0:72:-4:172, 1:72:-4:172, 2:72:-4:172,
  3:72:-4:172, 4:72:-4:172, -5:72:-3:1:1, -4:72:-3:1:1, -3:72:-3:1:1, -2:72:-3:172,
  -1:72:-3:172, 0:72:-3:172, 1:72:-3:172, 2:72:-3:172, 3:72:-3:172, 4:72:-3:172, 5:72:-3:1:1,
  6:72:-3:1:1, 7:72:-3:1:1, 8:72:-3:1:1, 9:72:-3:1:1, -7:72:-2:1:1, -6:72:-2:1:1,
  -5:72:-2:1:1, -4:72:-2:1:1, -3:72:-2:172, -2:72:-2:172, -1:72:-2:172, 0:72:-2:172,
  1:72:-2:172, 2:72:-2:172, 3:72:-2:172, 4:72:-2:172, 5:72:-2:172, 6:72:-2:1, 7:72:-2:1,
  8:72:-2:1, 9:72:-2:1:1, -7:72:-1:1:1, -6:72:-1:1:1, -5:72:-1:1:1, -4:72:-1:172,
  -3:72:-1:172, -2:72:-1:172, -1:72:-1:172, 0:72:-1:172, 1:72:-1:172, 2:72:-1:172,
  3:72:-1:172, 4:72:-1:172, 5:72:-1:172, 6:72:-1:172, 7:72:-1:172, 8:72:-1:1, 9:72:-1:1,
  10:72:-1:3:1, -8:72:0:1:1, -7:72:0:1:1, -6:72:0:1:1, -5:72:0:172, -4:72:0:172, -3:72:0:172,
  -2:72:0:172, -1:72:0:172, 0:72:0:172, 1:72:0:172, 2:72:0:172, 3:72:0:172, 4:72:0:172,
  5:72:0:172, 6:72:0:172, 7:72:0:172, 8:72:0:172, 9:72:0:1, 10:72:0:3:1, -9:72:1:1:1,
  -8:72:1:1:1, -7:72:1:1:1, -6:72:1:1:1, -5:72:1:172, -4:72:1:172, -3:72:1:172, -2:72:1:172,
  -1:72:1:172, 0:72:1:172, 1:72:1:172, 2:72:1:172, 3:72:1:172, 4:72:1:172, 5:72:1:1:1,
  6:72:1:1:1, 7:72:1:1:1, 8:72:1:1:1, 9:72:1:1:1, 10:72:1:1, -9:72:2:1:1, -8:72:2:1:1,
  -7:72:2:1:1, -6:72:2:172, -5:72:2:172, -4:72:2:172, -3:72:2:172, -2:72:2:172, -1:72:2:172,
  0:72:2:172, 1:72:2:172, 2:72:2:172, 3:72:2:172, 4:72:2:172, 5:72:2:1:1, 6:72:2:1:1,
  7:72:2:1:1, 8:72:2:1:1, -8:72:3:1:1, -7:72:3:3:1, -6:72:3:172, -5:72:3:172, -4:72:3:172,
  -3:72:3:172, -2:72:3:172, -1:72:3:172, 0:72:3:172, 1:72:3:172, 2:72:3:172, 3:72:3:1:1,
  4:72:3:1:1, 5:72:3:1:1, -4:72:4:172, -3:72:4:172, -2:72:4:172, -1:72:4:172, 0:72:4:172,
  1:72:4:172, 2:72:4:1:1, 3:72:4:1:1, 4:72:4:1:1, -3:72:5:172, -2:72:5:172, -1:72:5:172,
  0:72:5:172, 1:72:5:172, 2:72:5:172, 3:72:5:1:1, -2:72:6:172, -1:72:6:172, 0:72:6:172,
  1:72:6:172, 2:72:6:1:1, 3:72:6:1:1, -2:72:7:172, -1:72:7:172, 0:72:7:172, 1:72:7:172,
  2:72:7:1:1, 3:72:7:172, -2:72:8:172, -1:72:8:172, 0:72:8:172, 1:72:8:1:1, 2:72:8:1:1,
  3:72:8:3:1, -1:72:9:172, 0:72:9:172, 1:72:9:172, 2:72:9:3:1, 3:72:9:3:1, -1:72:10:172,
  0:72:10:172, 1:72:10:172, -2:73:-10:1:1, -1:73:-10:1:1, -3:73:-9:1:1, -2:73:-9:1:1,
  -1:73:-9:1:1, 0:73:-9:1:1, 1:73:-9:1:1, -3:73:-8:1:1, -2:73:-8:1:1, -1:73:-8:172,
  0:73:-8:172, 1:73:-8:172, 2:73:-8:172, -3:73:-7:1:1, -2:73:-7:1:1, -1:73:-7:172,
  0:73:-7:172, 1:73:-7:172, 2:73:-7:172, -3:73:-6:172, -2:73:-6:172, -1:73:-6:172,
  0:73:-6:172, 1:73:-6:172, 2:73:-6:172, 3:73:-6:172, -3:73:-5:3:1, -2:73:-5:172,
  -1:73:-5:172, 0:73:-5:172, 1:73:-5:172, 2:73:-5:172, 3:73:-5:172, -4:73:-4:3:1,
  -3:73:-4:172, -2:73:-4:172, -1:73:-4:172, 0:73:-4:172, 1:73:-4:172, 2:73:-4:172,
  3:73:-4:172, 4:73:-4:172, -6:73:-3:172, -5:73:-3:3:1, -4:73:-3:172, -3:73:-3:172,
  -2:73:-3:172, -1:73:-3:172, 0:73:-3:172, 1:73:-3:172, 2:73:-3:172, 3:73:-3:172,
  4:73:-3:172, 5:73:-3:172, 6:73:-3:172, 7:73:-3:3:1, 8:73:-3:1:1, 9:73:-3:1:1, -8:73:-2:1:1,
  -7:73:-2:1:1, -6:73:-2:172, -5:73:-2:172, -4:73:-2:172, -3:73:-2:172, -2:73:-2:172,
  -1:73:-2:172, 0:73:-2:172, 1:73:-2:172, 2:73:-2:172, 3:73:-2:172, 4:73:-2:172, 5:73:-2:172,
  6:73:-2:172, 7:73:-2:172, 8:73:-2:1, 9:73:-2:172, 10:73:-2:3:1, 11:73:-2:3:1, -9:73:-1:3:1,
  -8:73:-1:1:1, -7:73:-1:1:1, -6:73:-1:172, -5:73:-1:172, -4:73:-1:172, -3:73:-1:172,
  -2:73:-1:172, -1:73:-1:172, 0:73:-1:172, 1:73:-1:172, 2:73:-1:172, 3:73:-1:172,
  4:73:-1:172, 5:73:-1:172, 6:73:-1:172, 7:73:-1:172, 8:73:-1:172, 9:73:-1:172, 10:73:-1:172,
  11:73:-1:172, -9:73:0:172, -8:73:0:1:1, -7:73:0:1:1, -6:73:0:1:1, -5:73:0:172, -4:73:0:172,
  -3:73:0:172, -2:73:0:172, -1:73:0:172, 0:73:0:172, 1:73:0:172, 2:73:0:172, 3:73:0:172,
  4:73:0:172, 5:73:0:172, 6:73:0:172, 7:73:0:172, 8:73:0:172, 9:73:0:172, 10:73:0:172,
  11:73:0:172, -9:73:1:1:1, -8:73:1:1:1, -7:73:1:1:1, -6:73:1:172, -5:73:1:172, -4:73:1:172,
  -3:73:1:172, -2:73:1:172, -1:73:1:172, 0:73:1:172, 1:73:1:172, 2:73:1:172, 3:73:1:172,
  4:73:1:172, 5:73:1:172, 6:73:1:1, 7:73:1:1, 8:73:1:1, 9:73:1:172, 10:73:1:1, 11:73:1:1,
  -9:73:2:1:1, -8:73:2:1:1, -7:73:2:172, -6:73:2:172, -5:73:2:172, -4:73:2:172, -3:73:2:172,
  -2:73:2:172, -1:73:2:172, 0:73:2:172, 1:73:2:172, 2:73:2:172, 3:73:2:172, 4:73:2:172,
  5:73:2:1:1, 6:73:2:1:1, 7:73:2:1:1, 8:73:2:1:1, -9:73:3:1:1, -8:73:3:1:1, -7:73:3:172,
  -6:73:3:172, -5:73:3:172, -4:73:3:172, -3:73:3:172, -2:73:3:172, -1:73:3:172, 0:73:3:172,
  1:73:3:172, 2:73:3:172, 3:73:3:172, 4:73:3:172, 5:73:3:1:1, 6:73:3:1:1, -4:73:4:172,
  -3:73:4:172, -2:73:4:172, -1:73:4:172, 0:73:4:172, 1:73:4:172, 2:73:4:172, 3:73:4:172,
  4:73:4:3:1, -3:73:5:172, -2:73:5:172, -1:73:5:172, 0:73:5:172, 1:73:5:172, 2:73:5:172,
  3:73:5:172, -3:73:6:172, -2:73:6:172, -1:73:6:172, 0:73:6:172, 1:73:6:172, 2:73:6:172,
  3:73:6:172, -2:73:7:172, -1:73:7:172, 0:73:7:172, 1:73:7:172, 2:73:7:172, 3:73:7:172,
  -2:73:8:172, -1:73:8:172, 0:73:8:172, 1:73:8:172, 2:73:8:172, 3:73:8:172, -1:73:9:172,
  0:73:9:172, 1:73:9:172, 2:73:9:172, 3:73:9:3:1, -1:73:10:172, 0:73:10:172, 1:73:10:172,
  2:73:10:172, 1:73:11:172, 2:73:11:172, -5:74:-11:172, -4:74:-11:172, -3:74:-11:172,
  -2:74:-11:172, -1:74:-11:1:1, 0:74:-11:1:1, 1:74:-11:1:1, -5:74:-10:172, -4:74:-10:3:1,
  -3:74:-10:1:1, -2:74:-10:1:1, -1:74:-10:1:1, 0:74:-10:1:1, 1:74:-10:1:1, 2:74:-10:1:1,
  -3:74:-9:1:1, -2:74:-9:1:1, -1:74:-9:172, 0:74:-9:1:1, 1:74:-9:1:1, 2:74:-9:1:1,
  -3:74:-8:3:1, -2:74:-8:172, -1:74:-8:172, 0:74:-8:172, 1:74:-8:172, 2:74:-8:172,
  -3:74:-7:172, -2:74:-7:172, -1:74:-7:172, 0:74:-7:172, 1:74:-7:172, 2:74:-7:172,
  -3:74:-6:172, -2:74:-6:172, -1:74:-6:172, 0:74:-6:172, 1:74:-6:172, 2:74:-6:172,
  3:74:-6:172, -4:74:-5:172, -3:74:-5:172, -2:74:-5:172, -1:74:-5:172, 0:74:-5:172,
  1:74:-5:172, 2:74:-5:172, 3:74:-5:172, -4:74:-4:172, -3:74:-4:172, -2:74:-4:172,
  -1:74:-4:172, 0:74:-4:172, 1:74:-4:172, 2:74:-4:172, 3:74:-4:172, 4:74:-4:172, 5:74:-4:172,
  10:74:-4:172, -6:74:-3:172, -5:74:-3:172, -4:74:-3:172, -3:74:-3:172, -2:74:-3:172,
  -1:74:-3:172, 0:74:-3:172, 1:74:-3:172, 2:74:-3:172, 3:74:-3:172, 4:74:-3:172, 5:74:-3:172,
  6:74:-3:172, 7:74:-3:172, 8:74:-3:3:1, 9:74:-3:3:1, 10:74:-3:172, 11:74:-3:172,
  -10:74:-2:172, -9:74:-2:3:1, -8:74:-2:3:1, -7:74:-2:172, -6:74:-2:172, -5:74:-2:172,
  -4:74:-2:172, -3:74:-2:172, -2:74:-2:172, -1:74:-2:172, 0:74:-2:172, 1:74:-2:172,
  2:74:-2:172, 3:74:-2:172, 4:74:-2:172, 5:74:-2:172, 6:74:-2:172, 7:74:-2:172, 8:74:-2:172,
  9:74:-2:172, 10:74:-2:172, 11:74:-2:172, -11:74:-1:172, -10:74:-1:172, -9:74:-1:172,
  -8:74:-1:172, -7:74:-1:172, -6:74:-1:172, -5:74:-1:172, -4:74:-1:172, -3:74:-1:172,
  -2:74:-1:172, -1:74:-1:172, 0:74:-1:172, 1:74:-1:172, 2:74:-1:172, 3:74:-1:172,
  4:74:-1:172, 5:74:-1:172, 6:74:-1:172, 7:74:-1:172, 8:74:-1:172, 9:74:-1:172, 10:74:-1:172,
  11:74:-1:172, -11:74:0:172, -10:74:0:172, -9:74:0:172, -8:74:0:172, -7:74:0:172,
  -6:74:0:172, -5:74:0:172, -4:74:0:172, -3:74:0:172, -2:74:0:172, -1:74:0:172, 0:74:0:172,
  1:74:0:172, 2:74:0:172, 3:74:0:172, 4:74:0:172, 5:74:0:172, 6:74:0:172, 7:74:0:172,
  8:74:0:172, 9:74:0:172, 10:74:0:172, 11:74:0:172, -11:74:1:172, -10:74:1:172, -9:74:1:172,
  -8:74:1:172, -7:74:1:172, -6:74:1:172, -5:74:1:172, -4:74:1:172, -3:74:1:172, -2:74:1:172,
  -1:74:1:172, 0:74:1:172, 1:74:1:172, 2:74:1:172, 3:74:1:172, 4:74:1:172, 5:74:1:172,
  6:74:1:172, 7:74:1:172, 8:74:1:172, 9:74:1:172, 10:74:1:172, 11:74:1:172, -11:74:2:172,
  -10:74:2:172, -9:74:2:1:1, -8:74:2:1:1, -7:74:2:172, -6:74:2:172, -5:74:2:172, -4:74:2:172,
  -3:74:2:172, -2:74:2:172, -1:74:2:172, 0:74:2:172, 1:74:2:172, 2:74:2:172, 3:74:2:172,
  4:74:2:172, 5:74:2:172, 6:74:2:172, 7:74:2:3:1, 8:74:2:172, 9:74:2:172, 10:74:2:1,
  -11:74:3:172, -10:74:3:172, -9:74:3:1:1, -8:74:3:3:1, -7:74:3:1, -6:74:3:172, -5:74:3:172,
  -4:74:3:172, -3:74:3:172, -2:74:3:172, -1:74:3:172, 0:74:3:172, 1:74:3:172, 2:74:3:172,
  3:74:3:172, 4:74:3:172, 5:74:3:3:1, 6:74:3:3:1, -11:74:4:172, -10:74:4:172, -5:74:4:172,
  -4:74:4:172, -3:74:4:172, -2:74:4:172, -1:74:4:172, 0:74:4:172, 1:74:4:172, 2:74:4:172,
  3:74:4:172, 4:74:4:172, -11:74:5:172, -10:74:5:172, -3:74:5:172, -2:74:5:172, -1:74:5:172,
  0:74:5:172, 1:74:5:172, 2:74:5:172, 3:74:5:172, 4:74:5:172, -3:74:6:172, -2:74:6:172,
  -1:74:6:172, 0:74:6:172, 1:74:6:172, 2:74:6:172, 3:74:6:172, -2:74:7:172, -1:74:7:172,
  0:74:7:172, 1:74:7:172, 2:74:7:172, 3:74:7:172, -2:74:8:172, -1:74:8:172, 0:74:8:172,
  1:74:8:172, 2:74:8:172, 3:74:8:172, -2:74:9:172, -1:74:9:172, 0:74:9:172, 1:74:9:172,
  2:74:9:172, 3:74:9:172, -2:74:10:172, -1:74:10:172, 0:74:10:172, 1:74:10:172, 2:74:10:172,
  3:74:10:172, 4:74:10:172, 5:74:10:172, -1:74:11:172, 0:74:11:172, 1:74:11:172, 2:74:11:172,
  3:74:11:172, 4:74:11:172, 5:74:11:172, -4:75:-12:172, -3:75:-12:172, -5:75:-11:172,
  -4:75:-11:172, -3:75:-11:172, -2:75:-11:172, -1:75:-11:172, 0:75:-11:1:1, 1:75:-11:1:1,
  2:75:-11:1:1, -5:75:-10:172, -4:75:-10:172, -3:75:-10:172, -2:75:-10:172, -1:75:-10:172,
  0:75:-10:1:1, 1:75:-10:1:1, 2:75:-10:1, 3:75:-10:3:1, -4:75:-9:1, -3:75:-9:172,
  -2:75:-9:172, -1:75:-9:172, 0:75:-9:1:1, 1:75:-9:1:1, 2:75:-9:1:1, -3:75:-8:172,
  -2:75:-8:172, -1:75:-8:172, 0:75:-8:172, 1:75:-8:172, 2:75:-8:172, -3:75:-7:172,
  -2:75:-7:172, -1:75:-7:172, 0:75:-7:172, 1:75:-7:172, 2:75:-7:172, 3:75:-7:172,
  -3:75:-6:172, -2:75:-6:172, -1:75:-6:172, 0:75:-6:172, 1:75:-6:172, 2:75:-6:172,
  3:75:-6:172, -4:75:-5:172, -3:75:-5:172, -2:75:-5:172, -1:75:-5:172, 0:75:-5:172,
  1:75:-5:172, 2:75:-5:172, 3:75:-5:172, 11:75:-5:172, -11:75:-4:172, -4:75:-4:172,
  -3:75:-4:172, -2:75:-4:172, -1:75:-4:172, 0:75:-4:172, 1:75:-4:172, 2:75:-4:172,
  3:75:-4:172, 4:75:-4:172, 5:75:-4:172, 9:75:-4:172, 10:75:-4:172, 11:75:-4:172,
  -11:75:-3:172, -7:75:-3:172, -6:75:-3:172, -5:75:-3:172, -4:75:-3:172, -3:75:-3:172,
  -2:75:-3:172, -1:75:-3:172, 0:75:-3:172, 1:75:-3:172, 2:75:-3:172, 3:75:-3:172,
  4:75:-3:172, 5:75:-3:172, 6:75:-3:172, 7:75:-3:172, 8:75:-3:172, 9:75:-3:172, 10:75:-3:172,
  11:75:-3:172, -11:75:-2:172, -10:75:-2:172, -9:75:-2:172, -8:75:-2:172, -7:75:-2:172,
  -6:75:-2:172, -5:75:-2:172, -4:75:-2:172, -3:75:-2:172, -2:75:-2:172, -1:75:-2:172,
  0:75:-2:172, 1:75:-2:172, 2:75:-2:172, 3:75:-2:172, 4:75:-2:172, 5:75:-2:172, 6:75:-2:172,
  7:75:-2:172, 8:75:-2:172, 9:75:-2:172, 10:75:-2:172, 11:75:-2:172, -11:75:-1:172,
  -10:75:-1:172, -9:75:-1:172, -8:75:-1:172, -7:75:-1:172, -6:75:-1:172, -5:75:-1:172,
  -4:75:-1:172, -3:75:-1:172, -2:75:-1:172, -1:75:-1:172, 0:75:-1:172, 1:75:-1:172,
  2:75:-1:172, 3:75:-1:172, 4:75:-1:172, 5:75:-1:172, 6:75:-1:172, 7:75:-1:172, 8:75:-1:172,
  9:75:-1:172, 10:75:-1:172, 11:75:-1:172, 12:75:-1:172, -12:75:0:172, -11:75:0:172,
  -10:75:0:172, -9:75:0:172, -8:75:0:172, -7:75:0:172, -6:75:0:172, -5:75:0:172, -4:75:0:172,
  -3:75:0:172, -2:75:0:172, -1:75:0:172, 0:75:0:172, 1:75:0:172, 2:75:0:172, 3:75:0:172,
  4:75:0:172, 5:75:0:172, 6:75:0:172, 7:75:0:172, 8:75:0:172, 9:75:0:172, 10:75:0:172,
  11:75:0:172, 12:75:0:172, -12:75:1:172, -11:75:1:172, -10:75:1:172, -9:75:1:172,
  -8:75:1:172, -7:75:1:172, -6:75:1:172, -5:75:1:172, -4:75:1:172, -3:75:1:172, -2:75:1:172,
  -1:75:1:172, 0:75:1:172, 1:75:1:172, 2:75:1:172, 3:75:1:172, 4:75:1:172, 5:75:1:172,
  6:75:1:172, 7:75:1:172, 8:75:1:172, 9:75:1:172, 10:75:1:172, 11:75:1:172, -12:75:2:172,
  -11:75:2:172, -10:75:2:172, -9:75:2:1:1, -8:75:2:172, -7:75:2:172, -6:75:2:172,
  -5:75:2:172, -4:75:2:172, -3:75:2:172, -2:75:2:172, -1:75:2:172, 0:75:2:172, 1:75:2:172,
  2:75:2:172, 3:75:2:172, 4:75:2:172, 5:75:2:172, 6:75:2:172, 7:75:2:172, 8:75:2:172,
  9:75:2:172, 10:75:2:1, 11:75:2:172, -12:75:3:172, -11:75:3:172, -10:75:3:1:1, -9:75:3:1:1,
  -8:75:3:1, -7:75:3:1, -6:75:3:172, -5:75:3:172, -4:75:3:172, -3:75:3:172, -2:75:3:172,
  -1:75:3:172, 0:75:3:172, 1:75:3:172, 2:75:3:172, 3:75:3:172, 4:75:3:172, 5:75:3:172,
  6:75:3:172, 7:75:3:172, 9:75:3:1, 11:75:3:172, -12:75:4:172, -11:75:4:172, -10:75:4:172,
  -9:75:4:172, -5:75:4:172, -4:75:4:172, -3:75:4:172, -2:75:4:172, -1:75:4:172, 0:75:4:172,
  1:75:4:172, 2:75:4:172, 3:75:4:172, 4:75:4:172, 11:75:4:172, -11:75:5:172, -10:75:5:172,
  -3:75:5:172, -2:75:5:172, -1:75:5:172, 0:75:5:172, 1:75:5:172, 2:75:5:172, 3:75:5:172,
  4:75:5:172, -3:75:6:172, -2:75:6:172, -1:75:6:172, 0:75:6:172, 1:75:6:172, 2:75:6:172,
  3:75:6:172, -3:75:7:172, -2:75:7:172, -1:75:7:172, 0:75:7:172, 1:75:7:172, 2:75:7:172,
  3:75:7:172, -2:75:8:172, -1:75:8:172, 0:75:8:172, 1:75:8:172, 2:75:8:172, 3:75:8:172,
  -2:75:9:172, -1:75:9:172, 0:75:9:172, 1:75:9:172, 2:75:9:172, 3:75:9:172, 4:75:9:172,
  -2:75:10:172, -1:75:10:172, 0:75:10:172, 1:75:10:172, 2:75:10:172, 3:75:10:172,
  4:75:10:172, 5:75:10:172, -4:75:11:172, -3:75:11:172, -2:75:11:172, -1:75:11:172,
  0:75:11:172, 1:75:11:172, 2:75:11:172, 3:75:11:172, 4:75:11:172, 5:75:11:172, -1:75:12:172,
  0:75:12:172, 3:75:12:172, 4:75:12:172, -5:76:-12:172, -4:76:-12:172, -3:76:-12:172,
  -2:76:-12:172, -1:76:-12:172, 2:76:-12:1:1, 3:76:-12:1:1, -6:76:-11:172, -5:76:-11:172,
  -4:76:-11:172, -3:76:-11:172, -2:76:-11:172, -1:76:-11:172, 0:76:-11:3:1, 1:76:-11:1:1,
  2:76:-11:1, 3:76:-11:1:1, 4:76:-11:3:1, 5:76:-11:172, 6:76:-11:172, -5:76:-10:1,
  -4:76:-10:172, -3:76:-10:172, -2:76:-10:172, -1:76:-10:172, 0:76:-10:1:1, 1:76:-10:1:1,
  2:76:-10:1, 3:76:-10:3:1, -4:76:-9:1, -3:76:-9:172, -2:76:-9:172, -1:76:-9:172,
  0:76:-9:172, 1:76:-9:1, 2:76:-9:172, 3:76:-9:3:1, -3:76:-8:172, -2:76:-8:172, -1:76:-8:172,
  0:76:-8:172, 1:76:-8:172, 2:76:-8:172, 3:76:-8:172, -3:76:-7:172, -2:76:-7:172,
  -1:76:-7:172, 0:76:-7:172, 1:76:-7:172, 2:76:-7:172, 3:76:-7:172, -11:76:-6:1, -3:76:-6:172,
  -2:76:-6:172, -1:76:-6:172, 0:76:-6:172, 1:76:-6:172, 2:76:-6:172, 3:76:-6:172,
  11:76:-6:172, -11:76:-5:172, -4:76:-5:172, -3:76:-5:172, -2:76:-5:172, -1:76:-5:172,
  0:76:-5:172, 1:76:-5:172, 2:76:-5:172, 3:76:-5:172, 4:76:-5:172, 10:76:-5:172, 11:76:-5:172,
  -11:76:-4:172, -10:76:-4:172, -5:76:-4:172, -4:76:-4:172, -3:76:-4:172, -2:76:-4:172,
  -1:76:-4:172, 0:76:-4:172, 1:76:-4:172, 2:76:-4:172, 3:76:-4:172, 4:76:-4:172, 5:76:-4:1,
  9:76:-4:172, 10:76:-4:172, 11:76:-4:172, -11:76:-3:172, -10:76:-3:172, -9:76:-3:172,
