Blocks: '[-7:45:-7:1, 7:45:-7:1, -7:45:7:1, -7:46:-7:1, -6:46:-7:1, 7:46:-7:1, -7:46:-6:1,
  8:50:-5:3, -8:50:5:3, -7:50:5:3, -6:50:5:3, 6:50:5:3, 7:50:5:3, 8:50:5:3, -9:50:6:3,
  -8:50:6:98, -7:50:6:98, -6:50:6:98, -5:50:6:3, 5:50:6:3, 6:50:6:98, 7:50:6:98, 8:50:6:98,
  9:50:6:3, -9:50:7:3, -8:50:7:98, -7:50:7:98, -6:50:7:98, -5:50:7:3, 5:50:7:3, 6:50:7:98,
  7:50:7:98, 8:50:7:98, 9:50:7:3, -9:50:8:3, -8:50:8:98, -7:50:8:98, -6:50:8:98, -5:50:8:3,
  5:50:8:3, 6:50:8:98, 7:50:8:98, 8:50:8:98, 9:50:8:3, -8:50:9:3, -7:50:9:3, -6:50:9:3,
  6:50:9:3, 7:50:9:3, 8:50:9:3, -8:51:-9:98, -7:51:-9:98, -6:51:-9:98, 6:51:-9:98,
  7:51:-9:98, 8:51:-9:98, -9:51:-8:98, -8:51:-8:5, -7:51:-8:5, -6:51:-8:5, -5:51:-8:98,
  5:51:-8:98, 6:51:-8:5, 7:51:-8:5, 8:51:-8:5, 9:51:-8:98, -9:51:-7:98, -8:51:-7:5,
  -7:51:-7:5, -6:51:-7:5, -5:51:-7:98, -4:51:-7:101, -3:51:-7:101, -2:51:-7:101, -1:51:-7:101,
  3:51:-7:101, 4:51:-7:101, 5:51:-7:98, 6:51:-7:5, 7:51:-7:5, 8:51:-7:5, 9:51:-7:98,
  -9:51:-6:98, -8:51:-6:5, -7:51:-6:5, -6:51:-6:5, -5:51:-6:98, -1:51:-6:101, 3:51:-6:101,
  5:51:-6:98, 6:51:-6:5, 7:51:-6:5, 8:51:-6:5, 9:51:-6:98, -8:51:-5:98, -7:51:-5:98,
  -6:51:-5:98, -1:51:-5:101, 0:51:-5:101, 3:51:-5:101, 6:51:-5:98, 7:51:-5:98, 8:51:-5:98,
  -7:51:-4:101, 0:51:-4:101, 1:51:-4:101, 2:51:-4:101, 3:51:-4:101, 7:51:-4:101, -8:51:-3:101,
  -7:51:-3:101, 7:51:-3:101, -8:51:-2:101, 7:51:-2:101, -8:51:-1:101, 7:51:-1:101,
  8:51:-1:101, -8:51:0:101, -7:51:0:101, -6:51:0:101, -5:51:0:101, 8:51:0:101, -5:51:1:101,
  -4:51:1:101, 7:51:1:101, 8:51:1:101, -4:51:2:101, 5:51:2:101, 6:51:2:101, 7:51:2:101,
  -7:51:3:101, -6:51:3:101, -5:51:3:101, -4:51:3:101, 5:51:3:101, -7:51:4:101, 5:51:4:101,
  6:51:4:101, 7:51:4:101, -8:51:5:98, -7:51:5:98, -6:51:5:98, 5:51:5:101, 6:51:5:98,
  7:51:5:98, 8:51:5:98, -9:51:6:98, -8:51:6:5, -7:51:6:5, -6:51:6:5, -5:51:6:98, 5:51:6:98,
  6:51:6:5, 7:51:6:5, 8:51:6:5, 9:51:6:98, -9:51:7:98, -8:51:7:5, -7:51:7:5, -6:51:7:5,
  -5:51:7:98, -4:51:7:101, -3:51:7:101, -2:51:7:101, 2:51:7:101, 3:51:7:101, 4:51:7:101,
  5:51:7:98, 6:51:7:5, 7:51:7:5, 8:51:7:5, 9:51:7:98, -9:51:8:98, -8:51:8:5, -7:51:8:5,
  -6:51:8:5, -5:51:8:98, -2:51:8:101, 2:51:8:101, 5:51:8:98, 6:51:8:5, 7:51:8:5, 8:51:8:5,
  9:51:8:98, -8:51:9:98, -7:51:9:98, -6:51:9:98, -2:51:9:101, 1:51:9:101, 2:51:9:101,
  6:51:9:98, 7:51:9:98, 8:51:9:98, -2:51:10:101, -1:51:10:101, 0:51:10:101, 1:51:10:101,
  -11:52:-25:1, 9:52:-25:15, 10:52:-25:1, -11:52:-24:1, -10:52:-24:1, 9:52:-24:1,
  10:52:-24:1, -11:52:-23:1, -10:52:-23:15, 10:52:-23:1, -21:52:-10:1, -21:52:-9:1,
  -20:52:-9:1, -8:52:-9:98, -6:52:-9:98, 6:52:-9:98, 8:52:-9:98, 21:52:-9:1, 22:52:-9:15,
  -21:52:-8:1, -20:52:-8:15, -9:52:-8:98, -7:52:-8:65:2, -5:52:-8:98, 5:52:-8:98,
  9:52:-8:98, 20:52:-8:1, 21:52:-8:1, 22:52:-8:1, -7:52:-7:17:1, 7:52:-7:17:1, 8:52:-7:65:5,
  -9:52:-6:98, -5:52:-6:98, 5:52:-6:98, 9:52:-6:98, -8:52:-5:98, -6:52:-5:98, 6:52:-5:98,
  8:52:-5:98, -8:52:5:98, -6:52:5:98, 6:52:5:98, 8:52:5:98, -9:52:6:98, -5:52:6:98,
  5:52:6:98, 9:52:6:98, -8:52:7:65:4, -7:52:7:17:1, 7:52:7:17:1, -26:52:8:1, -25:52:8:1,
  -24:52:8:1, -9:52:8:98, -5:52:8:98, 5:52:8:98, 7:52:8:65:3, 9:52:8:98, -26:52:9:15,
  -25:52:9:1, -8:52:9:98, -6:52:9:98, 6:52:9:98, 8:52:9:98, 19:52:10:1, 20:52:10:15,
  18:52:11:1, 19:52:11:1, 20:52:11:1, -11:52:18:1, -10:52:18:1, -9:52:18:1, -11:52:19:15,
  -10:52:19:1, 10:52:21:15, 11:52:21:1, 10:52:22:1, 11:52:22:1, 11:52:23:1, -11:53:-26:1,
  -10:53:-26:15, 9:53:-26:1, 10:53:-26:1, -12:53:-25:1, -11:53:-25:1, -10:53:-25:1,
  -9:53:-25:1, 8:53:-25:1, 9:53:-25:1, 10:53:-25:1, 11:53:-25:15, -12:53:-24:1, -11:53:-24:1,
  -10:53:-24:1, -9:53:-24:1, 8:53:-24:1, 9:53:-24:1, 10:53:-24:1, 11:53:-24:1, -12:53:-23:15,
  -11:53:-23:1, -10:53:-23:1, -9:53:-23:1, 8:53:-23:1, 9:53:-23:1, 10:53:-23:1, 11:53:-23:1,
  -11:53:-22:1, -10:53:-22:1, 9:53:-22:15, 10:53:-22:1, -21:53:-11:1, -20:53:-11:15,
  -22:53:-10:1, -21:53:-10:1, -20:53:-10:1, -19:53:-10:1, 20:53:-10:1, 21:53:-10:1,
  22:53:-10:1, -22:53:-9:1, -21:53:-9:1, -20:53:-9:1, -19:53:-9:1, -8:53:-9:98, -6:53:-9:98,
  6:53:-9:98, 8:53:-9:98, 19:53:-9:15, 20:53:-9:1, 21:53:-9:1, 22:53:-9:1, 23:53:-9:1,
  -22:53:-8:15, -21:53:-8:1, -20:53:-8:1, -19:53:-8:1, -9:53:-8:98, -7:53:-8:65:2,
  -5:53:-8:98, 5:53:-8:98, 9:53:-8:98, 19:53:-8:1, 20:53:-8:1, 21:53:-8:1, 22:53:-8:1,
  23:53:-8:1, -21:53:-7:1, -20:53:-7:1, -7:53:-7:17:1, 7:53:-7:17:1, 8:53:-7:65:5,
  20:53:-7:1, 21:53:-7:1, 22:53:-7:15, -9:53:-6:98, -5:53:-6:98, 5:53:-6:98, 9:53:-6:98,
  -8:53:-5:98, -6:53:-5:98, 6:53:-5:98, 8:53:-5:98, -8:53:5:98, -6:53:5:98, 6:53:5:98,
  8:53:5:98, -9:53:6:98, -5:53:6:98, 5:53:6:98, 9:53:6:98, -26:53:7:15, -25:53:7:1,
  -24:53:7:1, -8:53:7:65:4, -7:53:7:17:1, 7:53:7:17:1, -27:53:8:1, -26:53:8:1, -25:53:8:1,
  -24:53:8:1, -23:53:8:1, -9:53:8:98, -5:53:8:98, 5:53:8:98, 7:53:8:65:3, 9:53:8:98,
  -27:53:9:1, -26:53:9:1, -25:53:9:1, -24:53:9:1, -23:53:9:15, -8:53:9:98, -6:53:9:98,
  6:53:9:98, 8:53:9:98, 18:53:9:1, 19:53:9:1, 20:53:9:1, -26:53:10:1, -25:53:10:1,
  -24:53:10:1, 17:53:10:15, 18:53:10:1, 19:53:10:1, 20:53:10:1, 21:53:10:1, 17:53:11:1,
  18:53:11:1, 19:53:11:1, 20:53:11:1, 21:53:11:1, 18:53:12:1, 19:53:12:1, 20:53:12:15,
  -11:53:17:15, -10:53:17:1, -9:53:17:1, -12:53:18:1, -11:53:18:1, -10:53:18:1, -9:53:18:1,
  -8:53:18:1, -12:53:19:1, -11:53:19:1, -10:53:19:1, -9:53:19:1, -8:53:19:15, -11:53:20:1,
  -10:53:20:1, -9:53:20:1, 10:53:20:1, 11:53:20:1, 9:53:21:1, 10:53:21:1, 11:53:21:1,
  12:53:21:15, 9:53:22:1, 10:53:22:1, 11:53:22:1, 12:53:22:1, 9:53:23:1, 10:53:23:1,
  11:53:23:1, 12:53:23:1, 10:53:24:15, 11:53:24:1, -11:54:-27:1, -10:54:-27:1, -9:54:-27:1,
  -12:54:-26:15, -11:54:-26:1, -10:54:-26:1, -9:54:-26:1, -8:54:-26:1, 9:54:-26:1,
  10:54:-26:15, -12:54:-25:1, -11:54:-25:1, -10:54:-25:15, -9:54:-25:1, -8:54:-25:15,
  8:54:-25:15, 9:54:-25:1, 10:54:-25:1, 11:54:-25:1, -12:54:-24:15, -11:54:-24:1,
  -10:54:-24:1, -9:54:-24:1, -8:54:-24:1, 7:54:-24:1, 8:54:-24:1, 9:54:-24:1, 10:54:-24:1,
  11:54:-24:15, -12:54:-23:1, -11:54:-23:1, -10:54:-23:1, -9:54:-23:15, 7:54:-23:15,
  8:54:-23:1, 9:54:-23:15, 10:54:-23:1, 11:54:-23:1, -11:54:-22:15, -10:54:-22:1,
  7:54:-22:1, 8:54:-22:1, 9:54:-22:1, 10:54:-22:1, 11:54:-22:15, 8:54:-21:1, 9:54:-21:1,
  10:54:-21:1, -21:54:-12:1, -20:54:-12:1, -19:54:-12:1, -22:54:-11:15, -21:54:-11:1,
  -20:54:-11:1, -19:54:-11:1, -18:54:-11:1, 19:54:-11:1, 20:54:-11:15, 21:54:-11:1,
  -22:54:-10:1, -21:54:-10:1, -20:54:-10:15, -19:54:-10:1, -18:54:-10:15, 18:54:-10:1,
  19:54:-10:1, 20:54:-10:1, 21:54:-10:1, 22:54:-10:15, -22:54:-9:15, -21:54:-9:1,
  -20:54:-9:1, -19:54:-9:1, -18:54:-9:1, -8:54:-9:98, -7:54:-9:98, -6:54:-9:98, 6:54:-9:98,
  7:54:-9:98, 8:54:-9:98, 18:54:-9:1, 19:54:-9:1, 20:54:-9:15, 21:54:-9:1, 22:54:-9:1,
  23:54:-9:1, -22:54:-8:1, -21:54:-8:1, -20:54:-8:1, -19:54:-8:15, -9:54:-8:98, -7:54:-8:65:2,
  -5:54:-8:98, 5:54:-8:98, 9:54:-8:98, 18:54:-8:1, 19:54:-8:1, 20:54:-8:1, 21:54:-8:1,
  22:54:-8:1, 23:54:-8:15, -21:54:-7:15, -20:54:-7:1, -9:54:-7:98, -7:54:-7:17:1,
  -5:54:-7:98, 5:54:-7:98, 7:54:-7:17:1, 8:54:-7:65:5, 9:54:-7:98, 19:54:-7:15, 20:54:-7:1,
  21:54:-7:15, 22:54:-7:1, -9:54:-6:98, -5:54:-6:98, 5:54:-6:98, 9:54:-6:98, -8:54:-5:98,
  -7:54:-5:98, -6:54:-5:98, 6:54:-5:98, 7:54:-5:98, 8:54:-5:98, 0:54:-1:56, 0:54:0:1,
  1:54:0:1, 1:54:1:56, -8:54:5:98, -7:54:5:98, -6:54:5:98, 6:54:5:98, 7:54:5:98, 8:54:5:98,
  -9:54:6:98, -5:54:6:98, 5:54:6:98, 9:54:6:98, -26:54:7:1, -25:54:7:15, -24:54:7:1,
  -23:54:7:15, -9:54:7:98, -8:54:7:65:4, -7:54:7:17:1, -5:54:7:98, 5:54:7:98, 7:54:7:17:1,
  9:54:7:98, -27:54:8:15, -26:54:8:1, -25:54:8:1, -24:54:8:1, -23:54:8:1, -22:54:8:1,
  -9:54:8:98, -5:54:8:98, 5:54:8:98, 7:54:8:65:3, 9:54:8:98, 17:54:8:1, 18:54:8:15,
  19:54:8:1, -27:54:9:1, -26:54:9:1, -25:54:9:1, -24:54:9:15, -23:54:9:1, -22:54:9:1,
  -8:54:9:98, -7:54:9:98, -6:54:9:98, 6:54:9:98, 7:54:9:98, 8:54:9:98, 16:54:9:1,
  17:54:9:1, 18:54:9:1, 19:54:9:1, 20:54:9:15, -26:54:10:15, -25:54:10:1, -24:54:10:1,
  -23:54:10:1, -22:54:10:1, 16:54:10:1, 17:54:10:1, 18:54:10:15, 19:54:10:1, 20:54:10:1,
  21:54:10:1, -25:54:11:1, -24:54:11:15, -23:54:11:1, 16:54:11:1, 17:54:11:1, 18:54:11:1,
  19:54:11:1, 20:54:11:1, 21:54:11:15, 17:54:12:15, 18:54:12:1, 19:54:12:15, 20:54:12:1,
  -11:54:17:1, -10:54:17:15, -9:54:17:1, -8:54:17:15, -12:54:18:15, -11:54:18:1, -10:54:18:1,
  -9:54:18:1, -8:54:18:1, -7:54:18:1, -12:54:19:1, -11:54:19:1, -10:54:19:1, -9:54:19:15,
  -8:54:19:1, -7:54:19:1, -11:54:20:15, -10:54:20:1, -9:54:20:1, -8:54:20:1, -7:54:20:1,
  10:54:20:1, 11:54:20:15, -10:54:21:1, -9:54:21:15, -8:54:21:1, 9:54:21:15, 10:54:21:1,
  11:54:21:1, 12:54:21:1, 8:54:22:1, 9:54:22:1, 10:54:22:1, 11:54:22:1, 12:54:22:15,
  8:54:23:15, 9:54:23:1, 10:54:23:15, 11:54:23:1, 12:54:23:1, 8:54:24:1, 9:54:24:1,
  10:54:24:1, 11:54:24:1, 12:54:24:15, 9:54:25:1, 10:54:25:1, 11:54:25:1, -10:55:-27:1,
  -9:55:-27:1, -11:55:-26:1, -10:55:-26:1, -9:55:-26:1, -8:55:-26:15, -12:55:-25:1,
  -11:55:-25:1, -10:55:-25:1, -9:55:-25:1, -8:55:-25:1, 8:55:-25:1, 9:55:-25:1, 10:55:-25:1,
  -12:55:-24:1, -11:55:-24:1, -10:55:-24:1, -9:55:-24:1, 8:55:-24:1, 9:55:-24:1, 10:55:-24:1,
  11:55:-24:1, -11:55:-23:1, -10:55:-23:1, -9:55:-23:1, 7:55:-23:1, 8:55:-23:1, 9:55:-23:1,
  10:55:-23:1, 11:55:-23:1, 7:55:-22:15, 8:55:-22:1, 9:55:-22:1, 10:55:-22:1, 8:55:-21:1,
  9:55:-21:1, -20:55:-12:1, -19:55:-12:1, -21:55:-11:1, -20:55:-11:1, -19:55:-11:1,
  -18:55:-11:15, 19:55:-11:15, 20:55:-11:1, -22:55:-10:1, -21:55:-10:1, -20:55:-10:1,
  -19:55:-10:1, -18:55:-10:1, 18:55:-10:1, 19:55:-10:1, 20:55:-10:1, 21:55:-10:1,
  22:55:-10:1, -22:55:-9:1, -21:55:-9:1, -20:55:-9:1, -19:55:-9:1, -8:55:-9:98, -7:55:-9:98,
  -6:55:-9:98, 6:55:-9:98, 7:55:-9:98, 8:55:-9:98, 18:55:-9:1, 19:55:-9:1, 20:55:-9:1,
  21:55:-9:1, 22:55:-9:1, -21:55:-8:1, -20:55:-8:1, -19:55:-8:1, -9:55:-8:98, -7:55:-8:65:2,
  -5:55:-8:98, 5:55:-8:98, 9:55:-8:98, 19:55:-8:1, 20:55:-8:1, 21:55:-8:1, 22:55:-8:1,
  -9:55:-7:98, -7:55:-7:17:1, -5:55:-7:98, 5:55:-7:98, 7:55:-7:17:1, 8:55:-7:65:5,
  9:55:-7:98, 20:55:-7:1, 21:55:-7:1, -9:55:-6:98, -5:55:-6:98, 5:55:-6:98, 9:55:-6:98,
  -8:55:-5:98, -7:55:-5:98, -6:55:-5:98, 6:55:-5:98, 7:55:-5:98, 8:55:-5:98, 0:55:-1:1,
  -1:55:0:1, 0:55:0:1, 1:55:0:1, 0:55:1:1, 1:55:1:1, 2:55:1:1, -8:55:5:98, -7:55:5:98,
  -6:55:5:98, 6:55:5:98, 7:55:5:98, 8:55:5:98, -9:55:6:98, -5:55:6:98, 5:55:6:98,
  9:55:6:98, -25:55:7:1, -24:55:7:1, -9:55:7:98, -8:55:7:65:4, -7:55:7:17:1, -5:55:7:98,
  5:55:7:98, 7:55:7:17:1, 9:55:7:98, -26:55:8:1, -25:55:8:1, -24:55:8:1, -23:55:8:1,
  -9:55:8:98, -5:55:8:98, 5:55:8:98, 7:55:8:65:3, 9:55:8:98, 17:55:8:15, 18:55:8:1,
  -26:55:9:1, -25:55:9:1, -24:55:9:1, -23:55:9:1, -22:55:9:1, -8:55:9:98, -7:55:9:98,
  -6:55:9:98, 6:55:9:98, 7:55:9:98, 8:55:9:98, 16:55:9:1, 17:55:9:1, 18:55:9:1, 19:55:9:1,
  20:55:9:1, -26:55:10:1, -25:55:10:1, -24:55:10:1, -23:55:10:1, -22:55:10:1, 16:55:10:1,
  17:55:10:1, 18:55:10:1, 19:55:10:1, 20:55:10:1, -24:55:11:1, -23:55:11:15, 17:55:11:1,
  18:55:11:1, 19:55:11:1, 20:55:11:1, 18:55:12:1, 19:55:12:1, -10:55:17:1, -9:55:17:1,
  -11:55:18:1, -10:55:18:1, -9:55:18:1, -8:55:18:1, -11:55:19:1, -10:55:19:1, -9:55:19:1,
  -8:55:19:1, -7:55:19:1, -11:55:20:1, -10:55:20:1, -9:55:20:1, -8:55:20:1, -7:55:20:1,
  -9:55:21:1, -8:55:21:15, 9:55:21:1, 10:55:21:1, 11:55:21:1, 9:55:22:1, 10:55:22:1,
  11:55:22:1, 12:55:22:1, 8:55:23:1, 9:55:23:1, 10:55:23:1, 11:55:23:1, 12:55:23:1,
  8:55:24:15, 9:55:24:1, 10:55:24:1, 11:55:24:1, 9:55:25:1, 10:55:25:1, -2:56:-34:1,
  -1:56:-34:1, 0:56:-34:1, 1:56:-34:1, 2:56:-34:1, -3:56:-33:1, -2:56:-33:1, -1:56:-33:1,
  0:56:-33:1, 1:56:-33:1, 2:56:-33:1, 3:56:-33:1, -3:56:-32:1, -2:56:-32:1, -1:56:-32:1,
  0:56:-32:1, 1:56:-32:1, 2:56:-32:1, 3:56:-32:1, -3:56:-31:1, -2:56:-31:1, -1:56:-31:1,
  0:56:-31:1, 1:56:-31:1, 2:56:-31:1, 3:56:-31:1, -3:56:-30:1, -2:56:-30:1, -1:56:-30:1,
  0:56:-30:1, 1:56:-30:1, 2:56:-30:1, 3:56:-30:1, -3:56:-29:1, -2:56:-29:1, -1:56:-29:1,
  0:56:-29:1, 1:56:-29:1, 2:56:-29:1, 3:56:-29:1, -2:56:-28:1, -1:56:-28:1, 0:56:-28:1,
  1:56:-28:1, 2:56:-28:1, -10:56:-26:15, -9:56:-26:1, -12:56:-25:1, -11:56:-25:1,
  -10:56:-25:1, -9:56:-25:1, -8:56:-25:1, 9:56:-25:1, -23:56:-24:1, -22:56:-24:1,
  -21:56:-24:1, -20:56:-24:1, -19:56:-24:1, -12:56:-24:1, -11:56:-24:1, -10:56:-24:1,
  -9:56:-24:1, 8:56:-24:1, 9:56:-24:1, 10:56:-24:1, 11:56:-24:1, 19:56:-24:1, 20:56:-24:1,
  21:56:-24:1, 22:56:-24:1, 23:56:-24:1, -24:56:-23:1, -23:56:-23:1, -22:56:-23:1,
  -21:56:-23:1, -20:56:-23:1, -19:56:-23:1, -18:56:-23:1, -10:56:-23:1, 7:56:-23:1,
  8:56:-23:1, 9:56:-23:1, 10:56:-23:1, 11:56:-23:1, 18:56:-23:1, 19:56:-23:1, 20:56:-23:1,
  21:56:-23:1, 22:56:-23:1, 23:56:-23:1, 24:56:-23:1, -24:56:-22:1, -23:56:-22:1,
  -22:56:-22:1, -21:56:-22:1, -20:56:-22:1, -19:56:-22:1, -18:56:-22:1, 8:56:-22:1,
  9:56:-22:15, 18:56:-22:1, 19:56:-22:1, 20:56:-22:1, 21:56:-22:1, 22:56:-22:1, 23:56:-22:1,
  24:56:-22:1, -24:56:-21:1, -23:56:-21:1, -22:56:-21:1, -21:56:-21:1, -20:56:-21:1,
  -19:56:-21:1, -18:56:-21:1, 18:56:-21:1, 19:56:-21:1, 20:56:-21:1, 21:56:-21:1,
  22:56:-21:1, 23:56:-21:1, 24:56:-21:1, -24:56:-20:1, -23:56:-20:1, -22:56:-20:1,
  -21:56:-20:1, -20:56:-20:1, -19:56:-20:1, -18:56:-20:1, 18:56:-20:1, 19:56:-20:1,
  20:56:-20:1, 21:56:-20:1, 22:56:-20:1, 23:56:-20:1, 24:56:-20:1, -24:56:-19:1, -23:56:-19:1,
  -22:56:-19:1, -21:56:-19:1, -20:56:-19:1, -19:56:-19:1, -18:56:-19:1, 18:56:-19:1,
  19:56:-19:1, 20:56:-19:1, 21:56:-19:1, 22:56:-19:1, 23:56:-19:1, 24:56:-19:1, -23:56:-18:1,
  -22:56:-18:1, -21:56:-18:1, -20:56:-18:1, -19:56:-18:1, 19:56:-18:1, 20:56:-18:1,
  21:56:-18:1, 22:56:-18:1, 23:56:-18:1, -20:56:-11:15, -19:56:-11:1, 20:56:-11:1,
  -22:56:-10:1, -21:56:-10:1, -20:56:-10:1, -19:56:-10:1, -18:56:-10:1, 19:56:-10:1,
  20:56:-10:1, 21:56:-10:1, -22:56:-9:1, -21:56:-9:1, -20:56:-9:1, -19:56:-9:1, -8:56:-9:98,
  -7:56:-9:98, -6:56:-9:98, 6:56:-9:98, 7:56:-9:98, 8:56:-9:98, 19:56:-9:15, 20:56:-9:1,
  21:56:-9:1, 22:56:-9:1, -20:56:-8:1, -9:56:-8:98, -7:56:-8:65:2, -5:56:-8:98, 5:56:-8:98,
  9:56:-8:98, 20:56:-8:1, 21:56:-8:1, -9:56:-7:98, -7:56:-7:17:1, -5:56:-7:98, 5:56:-7:98,
  7:56:-7:17:1, 8:56:-7:65:5, 9:56:-7:98, 20:56:-7:1, 21:56:-7:1, -9:56:-6:98, -5:56:-6:98,
  5:56:-6:98, 9:56:-6:98, -8:56:-5:98, -7:56:-5:98, -6:56:-5:98, 6:56:-5:98, 7:56:-5:98,
  8:56:-5:98, -31:56:-3:1, -30:56:-3:1, -29:56:-3:1, -28:56:-3:1, -27:56:-3:1, 26:56:-3:1,
  27:56:-3:1, 28:56:-3:1, 29:56:-3:1, 30:56:-3:1, -32:56:-2:1, -31:56:-2:1, -30:56:-2:1,
  -29:56:-2:1, -28:56:-2:1, -27:56:-2:1, -26:56:-2:1, 25:56:-2:1, 26:56:-2:1, 27:56:-2:1,
  28:56:-2:1, 29:56:-2:1, 30:56:-2:1, 31:56:-2:1, -32:56:-1:1, -31:56:-1:1, -30:56:-1:1,
  -29:56:-1:1, -28:56:-1:1, -27:56:-1:1, -26:56:-1:1, -1:56:-1:1, 0:56:-1:1, 1:56:-1:56,
  25:56:-1:1, 26:56:-1:1, 27:56:-1:1, 28:56:-1:1, 29:56:-1:1, 30:56:-1:1, 31:56:-1:1,
  -32:56:0:1, -31:56:0:1, -30:56:0:1, -29:56:0:1, -28:56:0:1, -27:56:0:1, -26:56:0:1,
  -1:56:0:1, 0:56:0:1, 1:56:0:1, 25:56:0:1, 26:56:0:1, 27:56:0:1, 28:56:0:1, 29:56:0:1,
  30:56:0:1, 31:56:0:1, -32:56:1:1, -31:56:1:1, -30:56:1:1, -29:56:1:1, -28:56:1:1,
  -27:56:1:1, -26:56:1:1, -1:56:1:56, 0:56:1:1, 1:56:1:1, 2:56:1:1, 25:56:1:1, 26:56:1:1,
  27:56:1:1, 28:56:1:1, 29:56:1:1, 30:56:1:1, 31:56:1:1, -32:56:2:1, -31:56:2:1, -30:56:2:1,
  -29:56:2:1, -28:56:2:1, -27:56:2:1, -26:56:2:1, 25:56:2:1, 26:56:2:1, 27:56:2:1,
  28:56:2:1, 29:56:2:1, 30:56:2:1, 31:56:2:1, -31:56:3:1, -30:56:3:1, -29:56:3:1,
  -28:56:3:1, -27:56:3:1, 26:56:3:1, 27:56:3:1, 28:56:3:1, 29:56:3:1, 30:56:3:1, -8:56:5:98,
  -7:56:5:98, -6:56:5:98, 6:56:5:98, 7:56:5:98, 8:56:5:98, -9:56:6:98, -5:56:6:98,
  5:56:6:98, 9:56:6:98, -25:56:7:1, -24:56:7:1, -9:56:7:98, -8:56:7:65:4, -7:56:7:17:1,
  -5:56:7:98, 5:56:7:98, 7:56:7:17:1, 9:56:7:98, -25:56:8:1, -24:56:8:1, -9:56:8:98,
